轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,0.827140,21:07:23.335082020,no,-,-,-,-,0.909091,1.100000,0.822597,2,1,332,3268,1.250000,0.000000,4500,no
2,SELL,0.174949,21:07:23.335082020,no,-,-,-,-,0.826446,1.210000,0.822597,2,1,336,3264,1.250000,0.000000,4500,no
3,SELL,0.341482,21:07:23.335082020,no,-,-,-,-,0.751315,1.331000,0.822597,2,1,339,3261,1.250000,0.000000,4500,no
4,SELL,0.705530,21:07:23.335082020,no,-,-,-,-,0.683013,1.464100,0.822597,2,1,343,3257,1.250000,0.000000,4500,no
5,SELL,0.166156,21:07:23.335082020,no,-,-,-,-,0.620921,1.610510,0.822597,2,1,347,3253,1.250000,0.000000,4500,no
6,SELL,0.277189,21:07:23.335082020,no,-,-,-,-,0.564474,1.771561,0.822597,2,1,351,3249,1.250000,0.000000,4500,no
7,SELL,-0.175736,21:07:23.335082020,no,-,-,-,-,0.513158,1.948717,0.822597,2,1,356,3244,1.250000,0.000000,4500,no
8,SELL,-0.338809,21:07:23.335082020,no,-,-,-,-,0.466507,2.143589,0.822597,2,1,360,3240,1.250000,0.000000,4500,no
9,SELL,-0.017828,21:07:23.335082020,no,-,-,-,-,0.424098,2.357948,0.822597,2,1,363,3237,1.250000,0.000000,4500,no
10,SELL,0.053099,21:07:23.335082020,no,-,-,-,-,0.385543,2.593742,0.822597,2,1,367,3233,1.250000,0.000000,4500,no
11,SELL,-0.005781,21:07:23.335082020,no,-,-,-,-,0.350494,2.853117,0.822597,2,1,370,3230,1.250000,0.000000,4500,no
12,SELL,-0.926789,21:07:23.335082020,no,-,-,-,-,0.318631,3.138428,0.822597,2,1,373,3227,1.250000,0.000000,4500,no
13,SELL,-2.180352,21:07:23.335082020,no,-,-,-,-,0.289664,3.452271,0.822597,2,1,377,3223,1.250000,0.000000,4500,no
14,SELL,-0.974005,21:07:23.335082020,no,-,-,-,-,0.263331,3.797498,0.822597,2,1,381,3219,1.250000,0.000000,4500,no
15,SELL,-0.622213,21:07:23.335082020,no,-,-,-,-,0.239392,4.177248,0.822597,2,1,383,3217,1.250000,0.000000,4500,no
16,SELL,-1.091997,21:07:23.335082020,no,-,-,-,-,0.217629,4.594973,0.822597,2,1,388,3212,1.250000,0.000000,4500,no
17,SELL,-0.529719,21:07:23.335082020,no,-,-,-,-,0.197845,5.054470,0.822597,2,1,392,3208,1.250000,0.000000,4500,no
18,SELL,-0.706765,21:07:23.335082020,no,-,-,-,-,0.179859,5.559917,0.822597,2,1,397,3203,1.250000,0.000000,4500,no
19,SELL,-0.350806,21:07:23.335082020,no,-,-,-,-,0.163508,6.115909,0.822597,2,1,399,3201,1.250000,0.000000,4500,no
20,SELL,-0.466357,21:07:23.335082020,no,-,-,-,-,0.148644,6.727500,0.822597,2,1,402,3198,1.250000,0.000000,4500,no
21,SELL,-0.287177,21:07:23.335082020,no,-,-,-,-,0.135131,7.400250,0.822597,2,1,407,3193,1.250000,0.000000,4500,no
22,SELL,1.878220,21:07:23.335082020,no,-,-,-,-,0.122846,8.140275,0.822597,2,1,410,3190,1.250000,0.000000,4500,no
23,SELL,0.636438,21:07:23.335082020,no,-,-,-,-,0.111678,8.954302,0.822597,2,1,412,3188,1.250000,0.000000,4500,no
24,SELL,0.076337,21:07:23.335082020,no,-,-,-,-,0.101526,9.849733,0.822597,2,1,417,3183,1.250000,0.000000,4500,no
25,SELL,0.118431,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,422,3178,1.250000,0.000000,4500,no
26,SELL,-0.130305,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,427,3173,1.250000,0.000000,4500,no
27,SELL,-0.070213,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,432,3168,1.250000,0.000000,4500,no
28,SELL,-0.141549,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,438,3162,1.250000,0.000000,4500,no
29,SELL,-0.273175,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,442,3158,1.250000,0.000000,4500,no
30,SELL,0.027681,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,445,3155,1.250000,0.000000,4500,no
31,SELL,-0.313117,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,448,3152,1.250000,0.000000,4500,no
32,SELL,-0.908773,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,452,3148,1.250000,0.000000,4500,no
33,SELL,-0.459472,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,457,3143,1.250000,0.000000,4500,no
34,SELL,-0.481216,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,461,3139,1.250000,0.000000,4500,no
35,SELL,-0.251443,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,464,3136,1.250000,0.000000,4500,no
36,SELL,-0.369128,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,467,3133,1.250000,0.000000,4500,no
37,SELL,-0.408045,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,471,3129,1.250000,0.000000,4500,no
38,SELL,-1.520998,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,475,3125,1.250000,0.000000,4500,no
39,SELL,-0.370163,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,480,3120,1.250000,0.000000,4500,no
40,SELL,-0.114884,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,483,3117,1.250000,0.000000,4500,no
41,SELL,0.290759,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,487,3113,1.250000,0.000000,4500,no
42,SELL,-0.070128,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,490,3110,1.250000,0.000000,4500,no
43,SELL,-0.174111,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,495,3105,1.250000,0.000000,4500,no
44,SELL,-0.414206,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,501,3099,1.250000,0.000000,4500,no
45,SELL,-0.456264,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,505,3095,1.250000,0.000000,4500,no
46,SELL,-0.309396,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,509,3091,1.250000,0.000000,4500,no
47,SELL,-1.354792,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,514,3086,1.250000,0.000000,4500,no
48,SELL,-0.828351,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,518,3082,1.250000,0.000000,4500,no
49,SELL,-1.128422,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,522,3078,1.250000,0.000000,4500,no
50,SELL,-0.526610,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,528,3072,1.250000,0.000000,4500,no
51,SELL,-0.827065,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,530,3070,1.250000,0.000000,4500,no
52,SELL,-0.846575,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,535,3065,1.250000,0.000000,4500,no
53,SELL,-1.727365,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,539,3061,1.250000,0.000000,4500,no
54,SELL,-1.475507,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,546,3054,1.250000,0.000000,4500,no
55,SELL,-0.873657,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,554,3046,1.250000,0.000000,4500,no
56,SELL,-0.705563,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,557,3043,1.250000,0.000000,4500,no
57,SELL,-0.398031,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,563,3037,1.250000,0.000000,4500,no
58,SELL,-0.736734,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,568,3032,1.250000,0.000000,4500,no
59,SELL,-0.404411,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,571,3029,1.250000,0.000000,4500,no
60,SELL,-0.066980,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,576,3024,1.250000,0.000000,4500,no
61,SELL,-0.048555,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,579,3021,1.250000,0.000000,4500,no
62,SELL,-0.185067,21:07:23.335082020,no,-,-,-,-,0.100000,10.000000,0.822597,2,1,583,3017,1.250000,0.000000,4500,no
