轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,0.590423,21:07:23.352942051,no,-,-,-,-,0.909091,1.100000,0.743638,2,1,332,3268,1.250000,0.000000,4500,no
2,BUY,0.634632,21:07:23.352942051,yes,17.150000,ask1,100,00:00:00.000037341,0.826446,1.210000,0.743638,2,1,337,3263,1.250000,0.296700,4400,no
3,BUY,0.449651,21:07:23.352942051,no,-,-,-,-,0.751315,1.331000,0.743638,2,1,341,3259,1.250000,0.293200,4400,no
4,BUY,0.282748,21:07:23.352942051,no,-,-,-,-,0.683013,1.464100,0.743638,2,1,347,3253,1.250000,0.288100,4400,no
5,BUY,0.061880,21:07:23.352942051,no,-,-,-,-,0.620921,1.610510,0.743638,2,1,352,3248,1.250000,0.284000,4400,no
6,BUY,-0.750430,21:07:23.352942051,no,-,-,-,-,0.564474,1.771561,0.743638,2,1,357,3243,1.250000,0.280100,4400,no
7,BUY,-0.285886,21:07:23.352942051,no,-,-,-,-,0.513158,1.948717,0.743638,2,1,361,3239,1.250000,0.277000,4400,no
8,BUY,-0.217978,21:07:23.352942051,no,-,-,-,-,0.466507,2.143589,0.743638,2,1,365,3235,1.250000,0.273900,4400,no
9,BUY,-0.276715,21:07:23.352942051,no,-,-,-,-,0.424098,2.357948,0.743638,2,1,369,3231,1.250000,0.271000,4400,no
10,BUY,0.021811,21:07:23.352942051,no,-,-,-,-,0.385543,2.593742,0.743638,2,1,374,3226,1.250000,0.267300,4400,no
11,BUY,-0.030024,21:07:23.352942051,no,-,-,-,-,0.350494,2.853117,0.743638,2,1,378,3222,1.250000,0.264500,4400,no
12,BUY,0.059475,21:07:23.352942051,no,-,-,-,-,0.318631,3.138428,0.743638,2,1,384,3216,1.250000,0.260400,4400,no
13,BUY,0.020822,21:07:23.352942051,no,-,-,-,-,0.289664,3.452271,0.743638,2,1,396,3204,1.250000,0.252500,4400,no
14,BUY,0.411805,21:07:23.352942051,yes,17.140000,ask1,300,00:00:00.000043663,0.263331,3.797498,0.743638,2,1,400,3200,1.250000,1.000000,4100,no
15,BUY,0.370879,21:07:23.352942051,yes,17.140000,ask1,400,00:00:00.000035046,0.239392,4.177248,0.743638,2,1,406,3194,1.250000,1.970400,3700,no
16,BUY,0.378855,21:07:23.352942051,yes,17.140000,ask1,400,00:00:00.000037098,0.239392,4.177248,0.743638,2,1,410,3190,1.250000,2.926800,3300,no
17,BUY,0.299290,21:07:23.352942051,yes,17.140000,ask1,300,00:00:00.000036629,0.263331,3.797498,0.743638,2,1,413,3187,1.250000,3.631900,3000,no
18,BUY,-0.366555,21:07:23.352942051,no,-,-,-,-,0.289664,3.452271,0.743638,2,1,417,3183,1.250000,3.597100,3000,no
19,BUY,-0.387917,21:07:23.352942051,no,-,-,-,-,0.318631,3.138428,0.743638,2,1,422,3178,1.250000,3.554500,3000,no
20,BUY,-0.134364,21:07:23.352942051,no,-,-,-,-,0.350494,2.853117,0.743638,2,1,427,3173,1.250000,3.512800,3000,no
21,BUY,-0.198510,21:07:23.352942051,no,-,-,-,-,0.385543,2.593742,0.743638,2,1,431,3169,1.250000,3.480200,3000,no
22,BUY,0.188498,21:07:23.352942051,no,-,-,-,-,0.424098,2.357948,0.743638,2,1,437,3163,1.250000,3.432400,3000,no
23,BUY,-0.004173,21:07:23.352942051,no,-,-,-,-,0.466507,2.143589,0.743638,2,1,441,3159,1.250000,3.401300,3000,no
24,BUY,0.125150,21:07:23.352942051,no,-,-,-,-,0.513158,1.948717,0.743638,2,1,445,3155,1.250000,3.370700,3000,no
25,BUY,0.051221,21:07:23.352942051,no,-,-,-,-,0.564474,1.771561,0.743638,2,1,450,3150,1.250000,3.333300,3000,no
26,BUY,0.029490,21:07:23.352942051,no,-,-,-,-,0.620921,1.610510,0.743638,2,1,455,3145,1.250000,3.296700,3000,no
27,BUY,0.875728,21:07:23.352942051,yes,17.140000,ask1,100,00:00:00.000035868,0.683013,1.464100,0.743638,2,1,461,3139,1.250000,3.253700,3000,no
28,BUY,0.856197,21:07:23.352942051,yes,17.140000,ask1,100,00:00:00.000035559,0.751315,1.331000,0.743638,2,1,465,3135,1.250000,3.440800,2900,no
29,BUY,0.734091,21:07:23.352942051,yes,17.140000,ask1,100,00:00:00.000037657,0.826446,1.210000,0.743638,2,1,469,3131,1.250000,3.837900,2700,no
30,BUY,0.237911,21:07:23.352942051,no,-,-,-,-,0.909091,1.100000,0.743638,2,1,474,3126,1.250000,3.797400,2700,no
31,BUY,0.304297,21:07:23.352942051,no,-,-,-,-,1.000000,1.000000,0.743638,2,1,478,3122,1.250000,3.765600,2700,no
32,BUY,-0.024774,21:07:23.352942051,no,-,-,-,-,1.100000,0.909091,0.743638,2,1,483,3117,1.250000,3.726700,2700,no
33,BUY,0.124634,21:07:23.352942051,no,-,-,-,-,1.210000,0.826446,0.743638,2,1,488,3112,1.250000,3.688500,2700,no
34,BUY,0.106829,21:07:23.352942051,no,-,-,-,-,1.331000,0.751315,0.743638,2,1,491,3109,1.250000,3.665900,2700,no
35,BUY,0.197753,21:07:23.352942051,no,-,-,-,-,1.464100,0.683013,0.743638,2,1,497,3103,1.250000,3.621700,2700,no
36,BUY,0.107325,21:07:23.352942051,no,-,-,-,-,1.610510,0.620921,0.743638,2,1,507,3093,1.250000,3.550200,2700,no
37,BUY,0.252844,21:07:23.352942051,no,-,-,-,-,1.771561,0.564474,0.743638,2,1,511,3089,1.250000,3.522500,2700,no
38,BUY,-0.225153,21:07:23.352942051,no,-,-,-,-,1.948717,0.513158,0.743638,2,1,517,3083,1.250000,3.481600,2700,no
39,BUY,0.090985,21:07:23.352942051,no,-,-,-,-,2.143589,0.466507,0.743638,2,1,522,3078,1.250000,3.448200,2700,no
40,BUY,0.209886,21:07:23.352942051,no,-,-,-,-,2.357948,0.424098,0.743638,2,1,528,3072,1.250000,3.409000,2700,no
41,BUY,0.339885,21:07:23.352942051,no,-,-,-,-,2.593742,0.385543,0.743638,2,1,532,3068,1.250000,3.383400,2700,no
42,BUY,-0.016999,21:07:23.352942051,no,-,-,-,-,2.853117,0.350494,0.743638,2,1,537,3063,1.250000,3.351900,2700,no
43,BUY,0.090832,21:07:23.352942051,no,-,-,-,-,3.138428,0.318631,0.743638,2,1,542,3058,1.250000,3.321000,2700,no
44,BUY,-0.348324,21:07:23.352942051,no,-,-,-,-,3.452271,0.289664,0.743638,2,1,546,3054,1.250000,3.296700,2700,no
45,BUY,-0.388190,21:07:23.352942051,no,-,-,-,-,3.797498,0.263331,0.743638,2,1,552,3048,1.250000,3.260800,2700,no
46,BUY,-0.523656,21:07:23.352942051,no,-,-,-,-,4.177248,0.239392,0.743638,2,1,556,3044,1.250000,3.237400,2700,no
47,BUY,-0.856626,21:07:23.352942051,no,-,-,-,-,4.594973,0.217629,0.743638,2,1,561,3039,1.250000,3.208500,2700,no
48,BUY,-0.695529,21:07:23.352942051,no,-,-,-,-,5.054470,0.197845,0.743638,2,1,567,3033,1.250000,3.174600,2700,no
49,BUY,-0.065369,21:07:23.352942051,no,-,-,-,-,5.559917,0.179859,0.743638,2,1,572,3028,1.250000,3.146800,2700,no
50,BUY,-0.311473,21:07:23.352942051,no,-,-,-,-,6.115909,0.163508,0.743638,2,1,577,3023,1.250000,3.119500,2700,no
51,BUY,-0.293351,21:07:23.352942051,no,-,-,-,-,6.727500,0.148644,0.743638,2,1,581,3019,1.250000,3.098100,2700,no
52,BUY,0.135976,21:07:23.352942051,no,-,-,-,-,7.400250,0.135131,0.743638,2,1,585,3015,1.250000,3.076900,2700,no
53,BUY,0.355868,21:07:23.352942051,no,-,-,-,-,8.140275,0.122846,0.743638,2,1,592,3008,1.250000,3.040500,2700,no
54,BUY,0.113359,21:07:23.352942051,no,-,-,-,-,8.954302,0.111678,0.743638,2,1,596,3004,1.250000,3.020100,2700,no
55,BUY,0.291617,21:07:23.352942051,no,-,-,-,-,9.849733,0.101526,0.743638,2,1,603,2997,1.250000,2.985000,2700,no
