轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.718833,21:07:23.360604432,yes,30.400000,bid1,100,00:00:00.000045122,0.909091,1.100000,0.661168,2,1,332,3268,7.500000,0.301200,26900,no
2,SELL,-0.768333,21:07:23.360604432,yes,30.420000,bid1,100,00:00:00.000040935,0.826446,1.210000,0.661168,2,1,335,3265,7.500000,0.597000,26800,no
3,SELL,-0.984796,21:07:23.360604432,yes,30.420000,bid1,100,00:00:00.000045239,0.751315,1.331000,0.661168,2,1,339,3261,7.500000,0.884900,26700,no
4,SELL,-0.579917,21:07:23.360604432,yes,30.420000,bid1,100,00:00:00.000039941,0.683013,1.464100,0.661168,2,1,343,3257,7.500000,1.166100,26600,no
5,SELL,-1.024601,21:07:23.360604432,yes,30.420000,bid1,100,00:00:00.000038921,0.620921,1.610510,0.661168,2,1,347,3253,7.500000,1.440900,26500,no
6,SELL,-1.187244,21:07:23.360604432,yes,30.420000,bid1,100,00:00:00.000043385,0.564474,1.771561,0.661168,2,1,351,3249,7.500000,1.709400,26400,no
7,SELL,-0.803490,21:07:23.360604432,yes,30.420000,bid1,100,00:00:00.000038107,0.513158,1.948717,0.661168,2,1,355,3245,7.500000,1.971800,26300,no
8,SELL,-0.038909,21:07:23.360604432,no,-,-,-,-,0.466507,2.143589,0.661168,2,1,359,3241,7.500000,1.949800,26300,no
9,SELL,0.500411,21:07:23.360604432,no,-,-,-,-,0.424098,2.357948,0.661168,2,1,363,3237,7.500000,1.928300,26300,no
10,SELL,0.073229,21:07:23.360604432,no,-,-,-,-,0.385543,2.593742,0.661168,2,1,367,3233,7.500000,1.907300,26300,no
11,SELL,0.002876,21:07:23.360604432,no,-,-,-,-,0.350494,2.853117,0.661168,2,1,369,3231,7.500000,1.897000,26300,no
12,SELL,-0.061377,21:07:23.360604432,no,-,-,-,-,0.318631,3.138428,0.661168,2,1,373,3227,7.500000,1.876600,26300,no
13,SELL,0.021194,21:07:23.360604432,no,-,-,-,-,0.289664,3.452271,0.661168,2,1,376,3224,7.500000,1.861700,26300,no
14,SELL,-0.281884,21:07:23.360604432,yes,30.430000,bid1,300,00:00:00.000041757,0.263331,3.797498,0.661168,2,1,381,3219,7.500000,2.624600,26000,no
15,SELL,-0.426581,21:07:23.360604432,yes,30.430000,bid1,400,00:00:00.000038224,0.239392,4.177248,0.661168,2,1,383,3217,7.500000,3.655300,25600,no
16,SELL,-0.225006,21:07:23.360604432,yes,30.430000,bid1,400,00:00:00.000035255,0.217629,4.594973,0.661168,2,1,387,3213,7.500000,4.651100,25200,no
17,SELL,-0.346713,21:07:23.360604432,yes,30.430000,bid1,500,00:00:00.000039824,0.197845,5.054470,0.661168,2,1,392,3208,7.500000,4.591800,25200,no
18,SELL,0.161545,21:07:23.360604432,no,-,-,-,-,0.179859,5.559917,0.661168,2,1,396,3204,7.500000,5.808000,24700,no
19,SELL,0.060789,21:07:23.360604432,no,-,-,-,-,0.163508,6.115909,0.661168,2,1,399,3201,7.500000,5.764400,24700,no
20,SELL,-0.193717,21:07:23.360604432,yes,30.430000,bid1,600,00:00:00.000035948,0.148644,6.727500,0.661168,2,1,402,3198,7.500000,7.213900,24100,no
21,SELL,-0.394648,21:07:23.360604432,yes,30.430000,bid1,700,00:00:00.000037753,0.135131,7.400250,0.661168,2,1,406,3194,7.500000,8.866900,23400,no
22,SELL,-0.422816,21:07:23.360604432,yes,30.430000,bid1,700,00:00:00.000036649,0.135131,7.400250,0.661168,2,1,409,3191,7.500000,10.513400,22700,no
23,SELL,-0.456689,21:07:23.360604432,yes,30.430000,bid1,700,00:00:00.000036722,0.135131,7.400250,0.661168,2,1,412,3188,7.500000,12.135900,22000,no
24,SELL,-0.437591,21:07:23.360604432,yes,30.430000,bid1,700,00:00:00.000037365,0.135131,7.400250,0.661168,2,1,416,3184,7.500000,13.701900,21300,no
25,SELL,-0.366511,21:07:23.360604432,yes,30.430000,bid1,700,00:00:00.000038918,0.135131,7.400250,0.661168,2,1,422,3178,7.500000,15.165800,20600,no
26,SELL,-0.101573,21:07:23.360604432,yes,30.430000,bid1,700,00:00:00.000039519,0.135131,7.400250,0.661168,2,1,427,3173,7.500000,16.627600,19900,no
27,SELL,-0.409031,21:07:23.360604432,yes,30.430000,bid1,600,00:00:00.000037891,0.148644,6.727500,0.661168,2,1,432,3168,7.500000,17.824000,19300,no
28,SELL,-0.506855,21:07:23.360604432,yes,30.420000,bid1,600,00:00:00.000040173,0.163508,6.115909,0.661168,2,1,438,3162,7.500000,18.949700,18700,no
29,SELL,-0.828878,21:07:23.360604432,yes,30.420000,bid1,500,00:00:00.000037472,0.179859,5.559917,0.661168,2,1,441,3159,7.500000,19.954600,18200,no
30,SELL,-0.868070,21:07:23.360604432,yes,30.400000,bid1,500,00:00:00.000049433,0.197845,5.054470,0.661168,2,1,444,3156,7.500000,19.819800,18200,no
31,SELL,-0.816815,21:07:23.360604432,yes,30.410000,bid1,400,00:00:00.000037018,0.217629,4.594973,0.661168,2,1,448,3152,7.500000,21.651700,17300,no
32,SELL,-0.476728,21:07:23.360604432,yes,30.400000,bid1,400,00:00:00.000037636,0.239392,4.177248,0.661168,2,1,451,3149,7.500000,22.394600,16900,no
33,SELL,-0.653196,21:07:23.360604432,yes,30.400000,bid1,300,00:00:00.000040430,0.263331,3.797498,0.661168,2,1,457,3143,7.500000,22.757100,16600,no
34,SELL,-0.632067,21:07:23.360604432,yes,30.400000,bid1,300,00:00:00.000042609,0.289664,3.452271,0.661168,2,1,460,3140,7.500000,23.260800,16300,no
