轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,-0.296235,21:07:23.345892484,no,-,-,-,-,0.909091,1.100000,0.621822,2,1,331,3269,6.250000,0.000000,22500,no
2,BUY,-0.007814,21:07:23.345892484,no,-,-,-,-,0.826446,1.210000,0.621822,2,1,336,3264,6.250000,0.000000,22500,no
3,BUY,0.075180,21:07:23.345892484,no,-,-,-,-,0.751315,1.331000,0.621822,2,1,340,3260,6.250000,0.000000,22500,no
4,BUY,0.334902,21:07:23.345892484,no,-,-,-,-,0.683013,1.464100,0.621822,2,1,345,3255,6.250000,0.000000,22500,no
5,BUY,0.234110,21:07:23.345892484,no,-,-,-,-,0.620921,1.610510,0.621822,2,1,349,3251,6.250000,0.000000,22500,no
6,BUY,0.053010,21:07:23.345892484,no,-,-,-,-,0.564474,1.771561,0.621822,2,1,355,3245,6.250000,0.000000,22500,no
7,BUY,0.147581,21:07:23.345892484,no,-,-,-,-,0.513158,1.948717,0.621822,2,1,360,3240,6.250000,0.000000,22500,no
8,BUY,0.729744,21:07:23.345892484,yes,15.640000,ask1,200,00:00:00.000039209,0.466507,2.143589,0.621822,2,1,364,3236,6.250000,0.549400,22300,no
9,BUY,0.628793,21:07:23.345892484,yes,15.640000,ask1,200,00:00:00.000038671,0.424098,2.357948,0.621822,2,1,368,3232,6.250000,1.086900,22100,no
10,BUY,1.536963,21:07:23.345892484,yes,15.620000,ask1,200,00:00:00.000038725,0.385543,2.593742,0.621822,2,1,373,3227,6.250000,1.608500,21900,no
11,BUY,2.239592,21:07:23.345892484,yes,15.630000,ask1,200,00:00:00.000038394,0.350494,2.853117,0.621822,2,1,378,3222,6.250000,1.587300,21900,no
12,BUY,1.455993,21:07:23.345892484,yes,15.640000,ask1,300,00:00:00.000036166,0.318631,3.138428,0.621822,2,1,382,3218,6.250000,2.094200,21700,no
13,BUY,2.084826,21:07:23.345892484,yes,15.610000,ask1,300,00:00:00.000035736,0.289664,3.452271,0.621822,2,1,388,3212,6.250000,2.835000,21400,no
14,BUY,1.025043,21:07:23.345892484,yes,15.630000,ask1,300,00:00:00.000035169,0.263331,3.797498,0.621822,2,1,395,3205,6.250000,4.303700,20800,no
15,BUY,1.668960,21:07:23.345892484,yes,15.620000,ask1,400,00:00:00.000037638,0.239392,4.177248,0.621822,2,1,399,3201,6.250000,5.263100,20400,no
16,BUY,1.160278,21:07:23.345892484,yes,15.630000,ask1,400,00:00:00.000038395,0.217629,4.594973,0.621822,2,1,405,3195,6.250000,6.172800,20000,no
17,BUY,1.676879,21:07:23.345892484,yes,15.630000,ask1,500,00:00:00.000044370,0.197845,5.054470,0.621822,2,1,409,3191,6.250000,7.334900,19500,no
18,BUY,1.502156,21:07:23.345892484,yes,15.640000,ask1,500,00:00:00.000036944,0.197845,5.054470,0.621822,2,1,412,3188,6.250000,7.281500,19500,no
19,BUY,1.931261,21:07:23.345892484,yes,15.640000,ask1,500,00:00:00.000038788,0.197845,5.054470,0.621822,2,1,416,3184,6.250000,9.615300,18500,no
20,BUY,1.038590,21:07:23.345892484,yes,15.650000,ask1,500,00:00:00.000036208,0.197845,5.054470,0.621822,2,1,421,3179,6.250000,9.501100,18500,no
21,BUY,1.208031,21:07:23.345892484,yes,15.650000,ask1,500,00:00:00.000037340,0.197845,5.054470,0.621822,2,1,425,3175,6.250000,10.588200,18000,no
22,BUY,0.747532,21:07:23.345892484,yes,15.650000,ask1,500,00:00:00.000037327,0.197845,5.054470,0.621822,2,1,430,3170,6.250000,11.627900,17500,no
23,BUY,1.270723,21:07:23.345892484,yes,15.650000,ask1,400,00:00:00.000045937,0.217629,4.594973,0.621822,2,1,435,3165,6.250000,12.643600,17000,no
24,BUY,0.828082,21:07:23.345892484,yes,15.650000,ask1,400,00:00:00.000035840,0.239392,4.177248,0.621822,2,1,439,3161,6.250000,14.350700,16200,no
25,BUY,0.471395,21:07:23.345892484,yes,15.650000,ask1,300,00:00:00.000038144,0.263331,3.797498,0.621822,2,1,444,3156,6.250000,14.864800,15900,no
26,BUY,-0.054800,21:07:23.345892484,no,-,-,-,-,0.289664,3.452271,0.621822,2,1,449,3151,6.250000,14.699300,15900,no
27,BUY,-0.292849,21:07:23.345892484,no,-,-,-,-,0.318631,3.138428,0.621822,2,1,453,3147,6.250000,14.569500,15900,no
28,BUY,0.482256,21:07:23.345892484,yes,15.660000,ask1,200,00:00:00.000058800,0.350494,2.853117,0.621822,2,1,459,3141,6.250000,14.379000,15900,no
29,BUY,0.731873,21:07:23.345892484,yes,15.650000,ask1,200,00:00:00.000038910,0.385543,2.593742,0.621822,2,1,464,3136,6.250000,14.655100,15700,no
30,BUY,-0.074115,21:07:23.345892484,no,-,-,-,-,0.424098,2.357948,0.621822,2,1,467,3133,6.250000,14.989200,15500,no
31,BUY,0.302449,21:07:23.345892484,yes,15.660000,ask1,200,00:00:00.000036947,0.466507,2.143589,0.621822,2,1,472,3128,6.250000,14.830500,15500,no
32,BUY,0.670647,21:07:23.345892484,yes,15.660000,ask1,100,00:00:00.000043156,0.513158,1.948717,0.621822,2,1,477,3123,6.250000,15.094300,15300,no
33,BUY,0.551314,21:07:23.345892484,yes,15.660000,ask1,100,00:00:00.000036200,0.564474,1.771561,0.621822,2,1,481,3119,6.250000,15.176700,15200,no
34,BUY,0.556714,21:07:23.345892484,yes,15.660000,ask1,100,00:00:00.000038747,0.620921,1.610510,0.621822,2,1,487,3113,6.250000,15.400400,15000,no
35,BUY,-0.016670,21:07:23.345892484,no,-,-,-,-,0.683013,1.464100,0.621822,2,1,489,3111,6.250000,15.337400,15000,no
36,BUY,-0.126492,21:07:23.345892484,no,-,-,-,-,0.751315,1.331000,0.621822,2,1,496,3104,6.250000,15.120900,15000,no
37,BUY,0.193870,21:07:23.345892484,no,-,-,-,-,0.826446,1.210000,0.621822,2,1,501,3099,6.250000,14.970000,15000,no
38,BUY,-0.185975,21:07:23.345892484,no,-,-,-,-,0.909091,1.100000,0.621822,2,1,505,3095,6.250000,14.851400,15000,no
39,BUY,-0.145097,21:07:23.345892484,no,-,-,-,-,1.000000,1.000000,0.621822,2,1,511,3089,6.250000,14.677100,15000,no
40,BUY,0.188719,21:07:23.345892484,no,-,-,-,-,1.100000,0.909091,0.621822,2,1,515,3085,6.250000,14.563100,15000,no
41,BUY,0.558327,21:07:23.345892484,no,-,-,-,-,1.210000,0.826446,0.621822,2,1,521,3079,6.250000,14.395300,15000,no
42,BUY,0.293687,21:07:23.345892484,no,-,-,-,-,1.331000,0.751315,0.621822,2,1,526,3074,6.250000,14.258500,15000,no
43,BUY,0.019105,21:07:23.345892484,no,-,-,-,-,1.464100,0.683013,0.621822,2,1,529,3071,6.250000,14.177600,15000,no
44,BUY,0.105937,21:07:23.345892484,no,-,-,-,-,1.610510,0.620921,0.621822,2,1,536,3064,6.250000,13.992500,15000,no
45,BUY,0.538085,21:07:23.345892484,no,-,-,-,-,1.771561,0.564474,0.621822,2,1,541,3059,6.250000,13.863200,15000,no
46,BUY,0.134680,21:07:23.345892484,no,-,-,-,-,1.948717,0.513158,0.621822,2,1,545,3055,6.250000,13.761400,15000,no
47,BUY,0.065051,21:07:23.345892484,no,-,-,-,-,2.143589,0.466507,0.621822,2,1,550,3050,6.250000,13.636300,15000,no
48,BUY,-0.205858,21:07:23.345892484,no,-,-,-,-,2.357948,0.424098,0.621822,2,1,555,3045,6.250000,13.513500,15000,no
49,BUY,0.086512,21:07:23.345892484,no,-,-,-,-,2.593742,0.385543,0.621822,2,1,560,3040,6.250000,13.392800,15000,no
50,BUY,0.769645,21:07:23.345892484,no,-,-,-,-,2.853117,0.350494,0.621822,2,1,565,3035,6.250000,13.274300,15000,no
51,BUY,0.837328,21:07:23.345892484,no,-,-,-,-,3.138428,0.318631,0.621822,2,1,570,3030,6.250000,13.157800,15000,no
52,BUY,0.448004,21:07:23.345892484,no,-,-,-,-,3.452271,0.289664,0.621822,2,1,576,3024,6.250000,13.020800,15000,no
53,BUY,0.351926,21:07:23.345892484,no,-,-,-,-,3.797498,0.263331,0.621822,2,1,579,3021,6.250000,12.953300,15000,no
54,BUY,0.207108,21:07:23.345892484,no,-,-,-,-,4.177248,0.239392,0.621822,2,1,584,3016,6.250000,12.842400,15000,no
55,BUY,0.405884,21:07:23.345892484,no,-,-,-,-,4.594973,0.217629,0.621822,2,1,589,3011,6.250000,12.733400,15000,no
56,BUY,0.141764,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,595,3005,6.250000,12.605000,15000,no
57,BUY,0.454115,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,601,2999,6.250000,12.479200,15000,no
58,BUY,0.197830,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,606,2994,6.250000,12.376200,15000,no
59,BUY,0.065676,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,610,2990,6.250000,12.295000,15000,no
60,BUY,-0.210793,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,616,2984,6.250000,12.175300,15000,no
61,BUY,-0.016496,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,621,2979,6.250000,12.077200,15000,no
62,BUY,0.258551,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,627,2973,6.250000,11.961700,15000,no
63,BUY,0.375949,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,634,2966,6.250000,11.829600,15000,no
64,BUY,0.575074,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,638,2962,6.250000,11.755400,15000,no
65,BUY,0.355673,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,642,2958,6.250000,11.682200,15000,no
66,BUY,-0.241558,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,645,2955,6.250000,11.627900,15000,no
67,BUY,-0.269849,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,650,2950,6.250000,11.538400,15000,no
68,BUY,-0.252266,21:07:23.345892484,no,-,-,-,-,5.054470,0.197845,0.621822,2,1,656,2944,6.250000,11.432900,15000,no
