轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.201242,21:07:23.358247795,no,-,-,-,-,0.909091,1.100000,0.674717,2,1,332,3268,1.250000,0.000000,4500,no
2,SELL,-0.325976,21:07:23.358247795,no,-,-,-,-,0.826446,1.210000,0.674717,2,1,338,3262,1.250000,0.000000,4500,no
3,SELL,-0.395771,21:07:23.358247795,no,-,-,-,-,0.751315,1.331000,0.674717,2,1,343,3257,1.250000,0.000000,4500,no
4,SELL,-0.326983,21:07:23.358247795,no,-,-,-,-,0.683013,1.464100,0.674717,2,1,347,3253,1.250000,0.000000,4500,no
5,SELL,0.045721,21:07:23.358247795,no,-,-,-,-,0.620921,1.610510,0.674717,2,1,350,3250,1.250000,0.000000,4500,no
6,SELL,-0.012477,21:07:23.358247795,no,-,-,-,-,0.564474,1.771561,0.674717,2,1,354,3246,1.250000,0.000000,4500,no
7,SELL,0.089484,21:07:23.358247795,no,-,-,-,-,0.513158,1.948717,0.674717,2,1,359,3241,1.250000,0.000000,4500,no
8,SELL,0.332477,21:07:23.358247795,no,-,-,-,-,0.466507,2.143589,0.674717,2,1,372,3228,1.250000,0.000000,4500,no
9,SELL,0.103289,21:07:23.358247795,no,-,-,-,-,0.424098,2.357948,0.674717,2,1,376,3224,1.250000,0.000000,4500,no
10,SELL,-0.050498,21:07:23.358247795,no,-,-,-,-,0.385543,2.593742,0.674717,2,1,380,3220,1.250000,0.000000,4500,no
11,SELL,0.077688,21:07:23.358247795,no,-,-,-,-,0.350494,2.853117,0.674717,2,1,382,3218,1.250000,0.000000,4500,no
12,SELL,-0.118420,21:07:23.358247795,no,-,-,-,-,0.318631,3.138428,0.674717,2,1,396,3204,1.250000,0.000000,4500,no
13,SELL,-0.094924,21:07:23.358247795,no,-,-,-,-,0.289664,3.452271,0.674717,2,1,398,3202,1.250000,0.000000,4500,no
14,SELL,0.050262,21:07:23.358247795,no,-,-,-,-,0.263331,3.797498,0.674717,2,1,402,3198,1.250000,0.000000,4500,no
15,SELL,-0.003644,21:07:23.358247795,no,-,-,-,-,0.239392,4.177248,0.674717,2,1,406,3194,1.250000,0.000000,4500,no
16,SELL,-0.182905,21:07:23.358247795,yes,55.860000,bid1,400,00:00:00.000036225,0.217629,4.594973,0.674717,2,1,409,3191,1.250000,0.977900,4100,no
17,SELL,0.120116,21:07:23.358247795,no,-,-,-,-,0.197845,5.054470,0.674717,2,1,412,3188,1.250000,0.970800,4100,no
18,SELL,0.115531,21:07:23.358247795,no,-,-,-,-,0.179859,5.559917,0.674717,2,1,416,3184,1.250000,0.961500,4100,no
19,SELL,0.046926,21:07:23.358247795,no,-,-,-,-,0.163508,6.115909,0.674717,2,1,421,3179,1.250000,0.950100,4100,no
20,SELL,0.124665,21:07:23.358247795,no,-,-,-,-,0.148644,6.727500,0.674717,2,1,426,3174,1.250000,0.938900,4100,no
21,SELL,0.229846,21:07:23.358247795,no,-,-,-,-,0.135131,7.400250,0.674717,2,1,431,3169,1.250000,0.928000,4100,no
22,SELL,0.149994,21:07:23.358247795,no,-,-,-,-,0.122846,8.140275,0.674717,2,1,436,3164,1.250000,0.917400,4100,no
23,SELL,0.050891,21:07:23.358247795,no,-,-,-,-,0.111678,8.954302,0.674717,2,1,440,3160,1.250000,0.909000,4100,no
24,SELL,-0.027987,21:07:23.358247795,no,-,-,-,-,0.101526,9.849733,0.674717,2,1,444,3156,1.250000,0.900900,4100,no
25,SELL,-0.243036,21:07:23.358247795,yes,55.830000,bid1,1000,00:00:00.000038477,0.100000,10.000000,0.674717,2,1,447,3153,1.250000,3.131900,3100,no
26,SELL,-0.111257,21:07:23.358247795,yes,55.830000,bid1,900,00:00:00.000035713,0.110000,9.090909,0.674717,2,1,451,3149,1.250000,5.099700,2200,no
27,SELL,-0.232711,21:07:23.358247795,yes,55.830000,bid1,800,00:00:00.000037291,0.121000,8.264463,0.674717,2,1,456,3144,1.250000,6.798200,1400,no
28,SELL,-0.102545,21:07:23.358247795,yes,55.840000,bid1,700,00:00:00.000036165,0.133100,7.513148,0.674717,2,1,459,3141,1.250000,8.278800,700,no
29,SELL,0.127053,21:07:23.358247795,no,-,-,-,-,0.146410,6.830135,0.674717,2,1,464,3136,1.250000,8.189600,700,no
30,SELL,0.264118,21:07:23.358247795,no,-,-,-,-,0.161051,6.209213,0.674717,2,1,466,3134,1.250000,8.154500,700,no
31,SELL,0.301101,21:07:23.358247795,no,-,-,-,-,0.177156,5.644739,0.674717,2,1,470,3130,1.250000,8.085100,700,no
32,SELL,0.328782,21:07:23.358247795,no,-,-,-,-,0.194872,5.131581,0.674717,2,1,474,3126,1.250000,8.016800,700,no
33,SELL,0.385572,21:07:23.358247795,no,-,-,-,-,0.214359,4.665074,0.674717,2,1,478,3122,1.250000,7.949700,700,no
34,SELL,0.385800,21:07:23.358247795,no,-,-,-,-,0.235795,4.240976,0.674717,2,1,481,3119,1.250000,7.900200,700,no
35,SELL,0.252707,21:07:23.358247795,no,-,-,-,-,0.259374,3.855433,0.674717,2,1,486,3114,1.250000,7.818900,700,no
