轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,0.441694,21:07:23.359244556,no,-,-,-,-,0.909091,1.100000,0.590175,2,1,332,3268,1.250000,0.000000,4500,no
2,BUY,0.354002,21:07:23.359244556,no,-,-,-,-,0.826446,1.210000,0.590175,2,1,335,3265,1.250000,0.000000,4500,no
3,BUY,0.500707,21:07:23.359244556,yes,11.280000,ask1,100,00:00:00.000037773,0.751315,1.331000,0.590175,2,1,338,3262,1.250000,0.295800,4400,no
4,BUY,0.355589,21:07:23.359244556,no,-,-,-,-,0.683013,1.464100,0.590175,2,1,342,3258,1.250000,0.292300,4400,no
5,BUY,0.238374,21:07:23.359244556,no,-,-,-,-,0.620921,1.610510,0.590175,2,1,347,3253,1.250000,0.288100,4400,no
6,BUY,0.398445,21:07:23.359244556,yes,11.280000,ask1,100,00:00:00.000039060,0.564474,1.771561,0.590175,2,1,350,3250,1.250000,0.571400,4300,no
7,BUY,0.208232,21:07:23.359244556,no,-,-,-,-,0.513158,1.948717,0.590175,2,1,354,3246,1.250000,0.564900,4300,no
8,BUY,0.156346,21:07:23.359244556,no,-,-,-,-,0.466507,2.143589,0.590175,2,1,359,3241,1.250000,0.557100,4300,no
9,BUY,0.321737,21:07:23.359244556,yes,11.289900,ask1,200,00:00:00.000035492,0.424098,2.357948,0.590175,2,1,362,3238,1.250000,1.104900,4100,no
10,BUY,-0.060100,21:07:23.359244556,no,-,-,-,-,0.385543,2.593742,0.590175,2,1,366,3234,1.250000,1.092800,4100,no
11,BUY,0.082077,21:07:23.359244556,no,-,-,-,-,0.350494,2.853117,0.590175,2,1,369,3231,1.250000,1.084000,4100,no
12,BUY,0.279360,21:07:23.359244556,yes,11.289900,ask1,300,00:00:00.000040429,0.318631,3.138428,0.590175,2,1,372,3228,1.250000,1.881700,3800,no
13,BUY,-0.023300,21:07:23.359244556,no,-,-,-,-,0.318631,3.138428,0.590175,2,1,376,3224,1.250000,1.861700,3800,no
14,BUY,0.244910,21:07:23.359244556,yes,11.289900,ask1,300,00:00:00.000035983,0.318631,3.138428,0.590175,2,1,380,3220,1.250000,2.631500,3500,no
15,BUY,0.264749,21:07:23.359244556,yes,11.289900,ask1,200,00:00:00.000037107,0.350494,2.853117,0.590175,2,1,382,3218,1.250000,3.141300,3300,no
16,BUY,0.194586,21:07:23.359244556,no,-,-,-,-,0.385543,2.593742,0.590175,2,1,386,3214,1.250000,3.108800,3300,no
17,BUY,0.136295,21:07:23.359244556,no,-,-,-,-,0.424098,2.357948,0.590175,2,1,392,3208,1.250000,3.061200,3300,no
18,BUY,0.286432,21:07:23.359244556,yes,11.289900,ask1,200,00:00:00.000035649,0.466507,2.143589,0.590175,2,1,396,3204,1.250000,3.535300,3100,no
19,BUY,0.334764,21:07:23.359244556,yes,11.289900,ask1,100,00:00:00.000038793,0.513158,1.948717,0.590175,2,1,398,3202,1.250000,3.768800,3000,no
20,BUY,-0.165136,21:07:23.359244556,no,-,-,-,-,0.564474,1.771561,0.590175,2,1,402,3198,1.250000,3.731300,3000,no
21,BUY,-0.439824,21:07:23.359244556,no,-,-,-,-,0.620921,1.610510,0.590175,2,1,406,3194,1.250000,3.694500,3000,no
22,BUY,-0.228976,21:07:23.359244556,no,-,-,-,-,0.683013,1.464100,0.590175,2,1,409,3191,1.250000,3.667400,3000,no
23,BUY,-0.385687,21:07:23.359244556,no,-,-,-,-,0.751315,1.331000,0.590175,2,1,412,3188,1.250000,3.640700,3000,no
24,BUY,-0.134769,21:07:23.359244556,no,-,-,-,-,0.826446,1.210000,0.590175,2,1,415,3185,1.250000,3.614400,3000,no
25,BUY,-0.095267,21:07:23.359244556,no,-,-,-,-,0.909091,1.100000,0.590175,2,1,421,3179,1.250000,3.562900,3000,no
26,BUY,-0.276119,21:07:23.359244556,no,-,-,-,-,1.000000,1.000000,0.590175,2,1,426,3174,1.250000,3.521100,3000,no
27,BUY,-0.276487,21:07:23.359244556,no,-,-,-,-,1.100000,0.909091,0.590175,2,1,430,3170,1.250000,3.488300,3000,no
28,BUY,-0.502765,21:07:23.359244556,no,-,-,-,-,1.210000,0.826446,0.590175,2,1,436,3164,1.250000,3.440300,3000,no
29,BUY,-0.363888,21:07:23.359244556,no,-,-,-,-,1.331000,0.751315,0.590175,2,1,440,3160,1.250000,3.409000,3000,no
30,BUY,-0.315283,21:07:23.359244556,no,-,-,-,-,1.464100,0.683013,0.590175,2,1,444,3156,1.250000,3.378300,3000,no
31,BUY,-0.415933,21:07:23.359244556,no,-,-,-,-,1.610510,0.620921,0.590175,2,1,447,3153,1.250000,3.355700,3000,no
32,BUY,-0.565170,21:07:23.359244556,no,-,-,-,-,1.771561,0.564474,0.590175,2,1,451,3149,1.250000,3.325900,3000,no
33,BUY,-0.363122,21:07:23.359244556,no,-,-,-,-,1.948717,0.513158,0.590175,2,1,456,3144,1.250000,3.289400,3000,no
34,BUY,-0.312438,21:07:23.359244556,no,-,-,-,-,2.143589,0.466507,0.590175,2,1,459,3141,1.250000,3.267900,3000,no
35,BUY,-0.317127,21:07:23.359244556,no,-,-,-,-,2.357948,0.424098,0.590175,2,1,466,3134,1.250000,3.218800,3000,no
36,BUY,-0.220962,21:07:23.359244556,no,-,-,-,-,2.593742,0.385543,0.590175,2,1,470,3130,1.250000,3.191400,3000,no
37,BUY,-0.122938,21:07:23.359244556,no,-,-,-,-,2.853117,0.350494,0.590175,2,1,474,3126,1.250000,3.164500,3000,no
38,BUY,-0.210050,21:07:23.359244556,no,-,-,-,-,3.138428,0.318631,0.590175,2,1,478,3122,1.250000,3.138000,3000,no
39,BUY,-0.418909,21:07:23.359244556,no,-,-,-,-,3.452271,0.289664,0.590175,2,1,481,3119,1.250000,3.118500,3000,no
40,BUY,-0.183808,21:07:23.359244556,no,-,-,-,-,3.797498,0.263331,0.590175,2,1,486,3114,1.250000,3.086400,3000,no
41,BUY,-0.382090,21:07:23.359244556,no,-,-,-,-,4.177248,0.239392,0.590175,2,1,489,3111,1.250000,3.067400,3000,no
42,BUY,0.099034,21:07:23.359244556,no,-,-,-,-,4.594973,0.217629,0.590175,2,1,494,3106,1.250000,3.036400,3000,no
43,BUY,0.023250,21:07:23.359244556,no,-,-,-,-,5.054470,0.197845,0.590175,2,1,500,3100,1.250000,3.000000,3000,no
44,BUY,0.187477,21:07:23.359244556,no,-,-,-,-,5.559917,0.179859,0.590175,2,1,503,3097,1.250000,2.982100,3000,no
45,BUY,0.149009,21:07:23.359244556,no,-,-,-,-,6.115909,0.163508,0.590175,2,1,508,3092,1.250000,2.952700,3000,no
46,BUY,0.100897,21:07:23.359244556,no,-,-,-,-,6.727500,0.148644,0.590175,2,1,512,3088,1.250000,2.929600,3000,no
47,BUY,0.036807,21:07:23.359244556,no,-,-,-,-,7.400250,0.135131,0.590175,2,1,516,3084,1.250000,2.906900,3000,no
48,BUY,0.119940,21:07:23.359244556,no,-,-,-,-,8.140275,0.122846,0.590175,2,1,521,3079,1.250000,2.879000,3000,no
49,BUY,-0.089356,21:07:23.359244556,no,-,-,-,-,8.954302,0.111678,0.590175,2,1,526,3074,1.250000,2.851700,3000,no
50,BUY,-0.208594,21:07:23.359244556,no,-,-,-,-,9.849733,0.101526,0.590175,2,1,529,3071,1.250000,2.835500,3000,no
51,BUY,-0.152620,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,533,3067,1.250000,2.814200,3000,no
52,BUY,-0.253080,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,538,3062,1.250000,2.788100,3000,no
53,BUY,-0.256128,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,544,3056,1.250000,2.757300,3000,no
54,BUY,-0.932558,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,551,3049,1.250000,2.722300,3000,no
55,BUY,-0.112474,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,556,3044,1.250000,2.697800,3000,no
56,BUY,-0.163058,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,561,3039,1.250000,2.673700,3000,no
57,BUY,-0.216351,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,566,3034,1.250000,2.650100,3000,no
58,BUY,-0.155161,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,570,3030,1.250000,2.631500,3000,no
59,BUY,-0.016689,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,575,3025,1.250000,2.608600,3000,no
60,BUY,-0.007939,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,578,3022,1.250000,2.595100,3000,no
61,BUY,0.474687,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,583,3017,1.250000,2.572800,3000,no
62,BUY,0.510008,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,586,3014,1.250000,2.559700,3000,no
63,BUY,0.632615,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,590,3010,1.250000,2.542300,3000,no
64,BUY,0.465819,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,594,3006,1.250000,2.525200,3000,no
65,BUY,0.434047,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,599,3001,1.250000,2.504100,3000,no
66,BUY,0.281116,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,604,2996,1.250000,2.483400,3000,no
67,BUY,0.468826,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,606,2994,1.250000,2.475200,3000,no
68,BUY,0.613678,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,610,2990,1.250000,2.459000,3000,no
69,BUY,0.700895,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,617,2983,1.250000,2.431100,3000,no
70,BUY,0.575019,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,620,2980,1.250000,2.419300,3000,no
71,BUY,0.658376,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,624,2976,1.250000,2.403800,3000,no
72,BUY,0.054940,21:07:23.359244556,no,-,-,-,-,10.000000,0.100000,0.590175,2,1,628,2972,1.250000,2.388500,3000,no
