轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.218534,21:07:23.351195383,no,-,-,-,-,0.909091,1.100000,0.796560,2,1,332,3268,2.500000,0.000000,9000,no
2,SELL,-0.429723,21:07:23.351195383,no,-,-,-,-,0.826446,1.210000,0.796560,2,1,337,3263,2.500000,0.000000,9000,no
3,SELL,-0.270529,21:07:23.351195383,no,-,-,-,-,0.751315,1.331000,0.796560,2,1,341,3259,2.500000,0.000000,9000,no
4,SELL,0.121529,21:07:23.351195383,no,-,-,-,-,0.683013,1.464100,0.796560,2,1,347,3253,2.500000,0.000000,9000,no
5,SELL,-0.339081,21:07:23.351195383,no,-,-,-,-,0.620921,1.610510,0.796560,2,1,352,3248,2.500000,0.000000,9000,no
6,SELL,0.193429,21:07:23.351195383,no,-,-,-,-,0.564474,1.771561,0.796560,2,1,357,3243,2.500000,0.000000,9000,no
7,SELL,0.718312,21:07:23.351195383,no,-,-,-,-,0.513158,1.948717,0.796560,2,1,361,3239,2.500000,0.000000,9000,no
8,SELL,-0.248349,21:07:23.351195383,no,-,-,-,-,0.466507,2.143589,0.796560,2,1,365,3235,2.500000,0.000000,9000,no
9,SELL,-0.027041,21:07:23.351195383,no,-,-,-,-,0.424098,2.357948,0.796560,2,1,369,3231,2.500000,0.000000,9000,no
10,SELL,-0.155656,21:07:23.351195383,no,-,-,-,-,0.385543,2.593742,0.796560,2,1,374,3226,2.500000,0.000000,9000,no
11,SELL,-0.589380,21:07:23.351195383,yes,103.400000,bid1,200,00:00:00.000040829,0.350494,2.853117,0.796560,2,1,378,3222,2.500000,0.529100,8800,no
12,SELL,-0.873024,21:07:23.351195383,yes,103.390000,bid1,300,00:00:00.000036936,0.318631,3.138428,0.796560,2,1,384,3216,2.500000,1.302000,8500,no
13,SELL,-1.476275,21:07:23.351195383,yes,103.390000,bid1,300,00:00:00.000037718,0.289664,3.452271,0.796560,2,1,390,3210,2.500000,2.051200,8200,no
14,SELL,-0.953759,21:07:23.351195383,yes,103.350000,bid1,300,00:00:00.000073247,0.263331,3.797498,0.796560,2,1,396,3204,2.500000,2.777700,7900,no
15,SELL,-0.658087,21:07:23.351195383,yes,103.350000,bid1,300,00:00:00.000035267,0.263331,3.797498,0.796560,2,1,400,3200,2.500000,3.500000,7600,no
16,SELL,-0.896722,21:07:23.351195383,yes,103.350000,bid1,300,00:00:00.000037090,0.263331,3.797498,0.796560,2,1,406,3194,2.500000,4.187100,7300,no
17,SELL,-0.887957,21:07:23.351195383,yes,103.360000,bid1,300,00:00:00.000047032,0.263331,3.797498,0.796560,2,1,410,3190,2.500000,4.878000,7000,no
18,SELL,-0.856468,21:07:23.351195383,yes,103.370000,bid1,300,00:00:00.000035262,0.263331,3.797498,0.796560,2,1,413,3187,2.500000,5.569000,6700,no
19,SELL,-1.089240,21:07:23.351195383,yes,103.310000,bid1,300,00:00:00.000040434,0.289664,3.452271,0.796560,2,1,417,3183,2.500000,5.515500,6700,no
20,SELL,-0.647368,21:07:23.351195383,yes,103.310000,bid1,300,00:00:00.000039191,0.318631,3.138428,0.796560,2,1,422,3178,2.500000,6.161100,6400,no
21,SELL,-0.472488,21:07:23.351195383,yes,103.290000,bid1,200,00:00:00.000039070,0.350494,2.853117,0.796560,2,1,426,3174,2.500000,7.276900,5900,no
22,SELL,-0.571918,21:07:23.351195383,yes,103.290000,bid1,200,00:00:00.000037593,0.385543,2.593742,0.796560,2,1,431,3169,2.500000,7.192500,5900,no
23,SELL,-0.884923,21:07:23.351195383,yes,103.290000,bid1,200,00:00:00.000046970,0.424098,2.357948,0.796560,2,1,437,3163,2.500000,8.009100,5500,no
24,SELL,-1.021281,21:07:23.351195383,yes,103.310000,bid1,200,00:00:00.000036741,0.466507,2.143589,0.796560,2,1,441,3159,2.500000,7.936500,5500,no
25,SELL,-0.604774,21:07:23.351195383,yes,103.290000,bid1,100,00:00:00.000036684,0.513158,1.948717,0.796560,2,1,445,3155,2.500000,8.314600,5300,no
26,SELL,-0.461373,21:07:23.351195383,yes,103.290000,bid1,100,00:00:00.000046875,0.564474,1.771561,0.796560,2,1,450,3150,2.500000,8.444400,5200,no
27,SELL,-0.557498,21:07:23.351195383,yes,103.250000,bid1,100,00:00:00.000040482,0.620921,1.610510,0.796560,2,1,455,3145,2.500000,8.571400,5100,no
28,SELL,-0.640535,21:07:23.351195383,yes,103.230000,bid1,100,00:00:00.000062606,0.683013,1.464100,0.796560,2,1,461,3139,2.500000,8.893700,4900,no
29,SELL,-0.534185,21:07:23.351195383,no,-,-,-,-,0.751315,1.331000,0.796560,2,1,465,3135,2.500000,8.817200,4900,no
30,SELL,-0.570894,21:07:23.351195383,no,-,-,-,-,0.826446,1.210000,0.796560,2,1,469,3131,2.500000,8.742000,4900,no
31,SELL,-0.708772,21:07:23.351195383,no,-,-,-,-,0.909091,1.100000,0.796560,2,1,474,3126,2.500000,8.649700,4900,no
32,SELL,-0.274805,21:07:23.351195383,no,-,-,-,-,1.000000,1.000000,0.796560,2,1,478,3122,2.500000,8.577400,4900,no
33,SELL,-0.490378,21:07:23.351195383,no,-,-,-,-,1.100000,0.909091,0.796560,2,1,483,3117,2.500000,8.488600,4900,no
34,SELL,-0.596199,21:07:23.351195383,no,-,-,-,-,1.210000,0.826446,0.796560,2,1,488,3112,2.500000,8.401600,4900,no
35,SELL,-0.032992,21:07:23.351195383,no,-,-,-,-,1.331000,0.751315,0.796560,2,1,491,3109,2.500000,8.350300,4900,no
36,SELL,-0.148701,21:07:23.351195383,no,-,-,-,-,1.464100,0.683013,0.796560,2,1,497,3103,2.500000,8.249400,4900,no
37,SELL,-0.040335,21:07:23.351195383,no,-,-,-,-,1.610510,0.620921,0.796560,2,1,503,3097,2.500000,8.151000,4900,no
38,SELL,-0.174647,21:07:23.351195383,no,-,-,-,-,1.771561,0.564474,0.796560,2,1,507,3093,2.500000,8.086700,4900,no
39,SELL,0.069190,21:07:23.351195383,no,-,-,-,-,1.948717,0.513158,0.796560,2,1,511,3089,2.500000,8.023400,4900,no
40,SELL,0.144887,21:07:23.351195383,no,-,-,-,-,2.143589,0.466507,0.796560,2,1,516,3084,2.500000,7.945700,4900,no
41,SELL,-0.454491,21:07:23.351195383,no,-,-,-,-,2.357948,0.424098,0.796560,2,1,522,3078,2.500000,7.854400,4900,no
42,SELL,-1.152377,21:07:23.351195383,no,-,-,-,-,2.593742,0.385543,0.796560,2,1,528,3072,2.500000,7.765100,4900,no
43,SELL,-0.837393,21:07:23.351195383,no,-,-,-,-,2.853117,0.350494,0.796560,2,1,532,3068,2.500000,7.706700,4900,no
44,SELL,-0.387463,21:07:23.351195383,no,-,-,-,-,3.138428,0.318631,0.796560,2,1,537,3063,2.500000,7.635000,4900,no
45,SELL,-0.266083,21:07:23.351195383,no,-,-,-,-,3.452271,0.289664,0.796560,2,1,541,3059,2.500000,7.578500,4900,no
46,SELL,-0.369767,21:07:23.351195383,no,-,-,-,-,3.797498,0.263331,0.796560,2,1,546,3054,2.500000,7.509100,4900,no
47,SELL,0.090362,21:07:23.351195383,no,-,-,-,-,4.177248,0.239392,0.796560,2,1,552,3048,2.500000,7.427500,4900,no
48,SELL,0.027426,21:07:23.351195383,no,-,-,-,-,4.594973,0.217629,0.796560,2,1,556,3044,2.500000,7.374100,4900,no
49,SELL,-0.456753,21:07:23.351195383,no,-,-,-,-,5.054470,0.197845,0.796560,2,1,561,3039,2.500000,7.308300,4900,no
50,SELL,-0.534781,21:07:23.351195383,no,-,-,-,-,5.559917,0.179859,0.796560,2,1,567,3033,2.500000,7.231000,4900,no
51,SELL,-0.184361,21:07:23.351195383,no,-,-,-,-,6.115909,0.163508,0.796560,2,1,572,3028,2.500000,7.167800,4900,no
52,SELL,0.187539,21:07:23.351195383,no,-,-,-,-,6.727500,0.148644,0.796560,2,1,577,3023,2.500000,7.105700,4900,no
53,SELL,0.078538,21:07:23.351195383,no,-,-,-,-,7.400250,0.135131,0.796560,2,1,581,3019,2.500000,7.056700,4900,no
54,SELL,0.179880,21:07:23.351195383,no,-,-,-,-,8.140275,0.122846,0.796560,2,1,585,3015,2.500000,7.008500,4900,no
55,SELL,-0.111903,21:07:23.351195383,no,-,-,-,-,8.954302,0.111678,0.796560,2,1,590,3010,2.500000,6.949100,4900,no
56,SELL,-0.344092,21:07:23.351195383,no,-,-,-,-,9.849733,0.101526,0.796560,2,1,596,3004,2.500000,6.879100,4900,no
57,SELL,-0.473786,21:07:23.351195383,no,-,-,-,-,10.000000,0.100000,0.796560,2,1,602,2998,2.500000,6.810600,4900,no
58,SELL,-1.087136,21:07:23.351195383,no,-,-,-,-,10.000000,0.100000,0.796560,2,1,607,2993,2.500000,6.754500,4900,no
59,SELL,-1.014743,21:07:23.351195383,no,-,-,-,-,10.000000,0.100000,0.796560,2,1,612,2988,2.500000,6.699300,4900,no
60,SELL,-1.795086,21:07:23.351195383,no,-,-,-,-,10.000000,0.100000,0.796560,2,1,618,2982,2.500000,6.634300,4900,no
61,SELL,-2.096321,21:07:23.351195383,no,-,-,-,-,10.000000,0.100000,0.796560,2,1,622,2978,2.500000,6.591600,4900,no
62,SELL,-1.730681,21:07:23.351195383,no,-,-,-,-,10.000000,0.100000,0.796560,2,1,628,2972,2.500000,6.528600,4900,no
