轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,0.688076,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000052852,0.909091,1.100000,0.551654,2,1,332,3268,3.750000,0.301200,13400,no
2,BUY,0.596739,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000034381,0.826446,1.210000,0.551654,2,1,337,3263,3.750000,0.593400,13300,no
3,BUY,0.748767,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000037174,0.751315,1.331000,0.551654,2,1,341,3259,3.750000,0.879700,13200,no
4,BUY,0.456403,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000038149,0.683013,1.464100,0.551654,2,1,347,3253,3.750000,1.152700,13100,no
5,BUY,0.509357,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000041689,0.620921,1.610510,0.551654,2,1,352,3248,3.750000,1.420400,13000,no
6,BUY,0.594877,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000042409,0.564474,1.771561,0.551654,2,1,357,3243,3.750000,1.680600,12900,no
7,BUY,0.574116,21:07:23.349571971,yes,7.950000,ask1,100,00:00:00.000037018,0.513158,1.948717,0.551654,2,1,365,3235,3.750000,1.917800,12800,no
8,BUY,0.670187,21:07:23.349571971,yes,7.950000,ask1,200,00:00:00.000037246,0.466507,2.143589,0.551654,2,1,374,3226,3.750000,2.406400,12600,no
9,BUY,0.733367,21:07:23.349571971,yes,7.950000,ask1,200,00:00:00.000037169,0.424098,2.357948,0.551654,2,1,384,3216,3.750000,2.864500,12400,no
10,BUY,0.629399,21:07:23.349571971,yes,7.950000,ask1,200,00:00:00.000038580,0.385543,2.593742,0.551654,2,1,396,3204,3.750000,3.282800,12200,no
11,BUY,0.626249,21:07:23.349571971,yes,7.950000,ask1,200,00:00:00.000038385,0.350494,2.853117,0.551654,2,1,400,3200,3.750000,3.750000,12000,no
12,BUY,0.307286,21:07:23.349571971,yes,7.950000,ask1,300,00:00:00.000037327,0.318631,3.138428,0.551654,2,1,406,3194,3.750000,4.433400,11700,no
13,BUY,0.335693,21:07:23.349571971,yes,7.950000,ask1,300,00:00:00.000037743,0.318631,3.138428,0.551654,2,1,410,3190,3.750000,5.121900,11400,no
14,BUY,0.386199,21:07:23.349571971,yes,7.950000,ask1,300,00:00:00.000036417,0.318631,3.138428,0.551654,2,1,413,3187,3.750000,5.811100,11100,no
15,BUY,0.370036,21:07:23.349571971,yes,7.950000,ask1,300,00:00:00.000064388,0.318631,3.138428,0.551654,2,1,417,3183,3.750000,5.755300,11100,no
16,BUY,0.377203,21:07:23.349571971,yes,7.950000,ask1,300,00:00:00.000037052,0.318631,3.138428,0.551654,2,1,426,3174,3.750000,7.042200,10500,no
