轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.321187,21:07:23.334650171,no,-,-,-,-,0.909091,1.100000,0.788492,2,1,332,3268,11.250000,0.000000,40500,no
2,SELL,-1.591986,21:07:23.334650171,no,-,-,-,-,0.826446,1.210000,0.788492,2,1,336,3264,11.250000,0.000000,40500,no
3,SELL,0.134199,21:07:23.334650171,no,-,-,-,-,0.751315,1.331000,0.788492,2,1,339,3261,11.250000,0.000000,40500,no
4,SELL,-1.023191,21:07:23.334650171,no,-,-,-,-,0.683013,1.464100,0.788492,2,1,343,3257,11.250000,0.000000,40500,no
5,SELL,-1.368102,21:07:23.334650171,no,-,-,-,-,0.620921,1.610510,0.788492,2,1,347,3253,11.250000,0.000000,40500,no
6,SELL,-2.477659,21:07:23.334650171,no,-,-,-,-,0.564474,1.771561,0.788492,2,1,351,3249,11.250000,0.000000,40500,no
7,SELL,-2.711577,21:07:23.334650171,no,-,-,-,-,0.513158,1.948717,0.788492,2,1,356,3244,11.250000,0.000000,40500,no
8,SELL,-3.158074,21:07:23.334650171,no,-,-,-,-,0.466507,2.143589,0.788492,2,1,360,3240,11.250000,0.000000,40500,no
9,SELL,-3.440041,21:07:23.334650171,no,-,-,-,-,0.424098,2.357948,0.788492,2,1,363,3237,11.250000,0.000000,40500,no
10,SELL,-2.683201,21:07:23.334650171,no,-,-,-,-,0.385543,2.593742,0.788492,2,1,367,3233,11.250000,0.000000,40500,no
11,SELL,-1.766320,21:07:23.334650171,no,-,-,-,-,0.350494,2.853117,0.788492,2,1,370,3230,11.250000,0.000000,40500,no
12,SELL,-2.378153,21:07:23.334650171,no,-,-,-,-,0.318631,3.138428,0.788492,2,1,373,3227,11.250000,0.000000,40500,no
13,SELL,-2.622425,21:07:23.334650171,no,-,-,-,-,0.289664,3.452271,0.788492,2,1,377,3223,11.250000,0.000000,40500,no
14,SELL,-2.005941,21:07:23.334650171,no,-,-,-,-,0.263331,3.797498,0.788492,2,1,381,3219,11.250000,0.000000,40500,no
15,SELL,-3.109039,21:07:23.334650171,no,-,-,-,-,0.239392,4.177248,0.788492,2,1,383,3217,11.250000,0.000000,40500,no
16,SELL,-2.839835,21:07:23.334650171,no,-,-,-,-,0.217629,4.594973,0.788492,2,1,387,3213,11.250000,0.000000,40500,no
17,SELL,-2.992946,21:07:23.334650171,no,-,-,-,-,0.197845,5.054470,0.788492,2,1,392,3208,11.250000,0.000000,40500,no
18,SELL,-2.468399,21:07:23.334650171,no,-,-,-,-,0.179859,5.559917,0.788492,2,1,397,3203,11.250000,0.000000,40500,no
19,SELL,-2.535613,21:07:23.334650171,no,-,-,-,-,0.163508,6.115909,0.788492,2,1,399,3201,11.250000,0.000000,40500,no
20,SELL,-3.012329,21:07:23.334650171,no,-,-,-,-,0.148644,6.727500,0.788492,2,1,402,3198,11.250000,0.000000,40500,no
21,SELL,-1.557022,21:07:23.334650171,no,-,-,-,-,0.135131,7.400250,0.788492,2,1,407,3193,11.250000,0.000000,40500,no
