轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.757012,21:07:23.354309802,yes,284.190000,bid1,100,00:00:00.000044664,0.909091,1.100000,0.732060,2,1,332,3268,1.250000,0.301200,4400,no
2,SELL,-0.630428,21:07:23.354309802,yes,284.200000,bid1,100,00:00:00.000038152,0.826446,1.210000,0.732060,2,1,335,3265,1.250000,0.597000,4300,no
3,SELL,-0.963504,21:07:23.354309802,yes,284.180000,bid1,100,00:00:00.000036985,0.751315,1.331000,0.732060,2,1,339,3261,1.250000,0.884900,4200,no
4,SELL,-2.213338,21:07:23.354309802,yes,284.180000,bid1,100,00:00:00.000066493,0.683013,1.464100,0.732060,2,1,343,3257,1.250000,1.166100,4100,no
5,SELL,-1.910082,21:07:23.354309802,yes,284.169900,bid1,100,00:00:00.000036502,0.620921,1.610510,0.732060,2,1,347,3253,1.250000,1.440900,4000,no
6,SELL,-1.614220,21:07:23.354309802,yes,284.200000,bid1,100,00:00:00.000037187,0.620921,1.610510,0.732060,2,1,351,3249,1.250000,1.709400,3900,no
7,SELL,-1.524203,21:07:23.354309802,yes,284.200000,bid1,100,00:00:00.000036214,0.620921,1.610510,0.732060,2,1,355,3245,1.250000,1.971800,3800,no
8,SELL,-1.368285,21:07:23.354309802,yes,284.200000,bid1,100,00:00:00.000037693,0.620921,1.610510,0.732060,2,1,359,3241,1.250000,2.228400,3700,no
9,SELL,-1.395759,21:07:23.354309802,yes,284.180000,bid1,100,00:00:00.000036430,0.620921,1.610510,0.732060,2,1,363,3237,1.250000,2.479300,3600,no
10,SELL,-1.558627,21:07:23.354309802,yes,284.190000,bid1,100,00:00:00.000045984,0.620921,1.610510,0.732060,2,1,367,3233,1.250000,2.724700,3500,no
11,SELL,-0.756760,21:07:23.354309802,yes,284.200000,bid1,100,00:00:00.000035819,0.683013,1.464100,0.732060,2,1,369,3231,1.250000,2.981000,3400,no
12,SELL,-1.072043,21:07:23.354309802,yes,284.200000,bid1,100,00:00:00.000040069,0.751315,1.331000,0.732060,2,1,373,3227,1.250000,3.217100,3300,no
13,SELL,-0.092146,21:07:23.354309802,no,-,-,-,-,0.826446,1.210000,0.732060,2,1,376,3224,1.250000,3.191400,3300,no
14,SELL,-0.273765,21:07:23.354309802,no,-,-,-,-,0.909091,1.100000,0.732060,2,1,381,3219,1.250000,3.149600,3300,no
15,SELL,-0.140572,21:07:23.354309802,no,-,-,-,-,1.000000,1.000000,0.732060,2,1,383,3217,1.250000,3.133100,3300,no
16,SELL,-0.389080,21:07:23.354309802,no,-,-,-,-,1.100000,0.909091,0.732060,2,1,387,3213,1.250000,3.100700,3300,no
17,SELL,-0.060438,21:07:23.354309802,no,-,-,-,-,1.210000,0.826446,0.732060,2,1,392,3208,1.250000,3.061200,3300,no
18,SELL,0.245830,21:07:23.354309802,no,-,-,-,-,1.331000,0.751315,0.732060,2,1,396,3204,1.250000,3.030300,3300,no
19,SELL,0.034398,21:07:23.354309802,no,-,-,-,-,1.464100,0.683013,0.732060,2,1,399,3201,1.250000,3.007500,3300,no
20,SELL,0.308240,21:07:23.354309802,no,-,-,-,-,1.610510,0.620921,0.732060,2,1,402,3198,1.250000,2.985000,3300,no
21,SELL,-0.140038,21:07:23.354309802,no,-,-,-,-,1.771561,0.564474,0.732060,2,1,406,3194,1.250000,2.955600,3300,no
22,SELL,-0.630371,21:07:23.354309802,no,-,-,-,-,1.948717,0.513158,0.732060,2,1,409,3191,1.250000,2.933900,3300,no
23,SELL,-0.297348,21:07:23.354309802,no,-,-,-,-,2.143589,0.466507,0.732060,2,1,412,3188,1.250000,2.912600,3300,no
24,SELL,-0.050463,21:07:23.354309802,no,-,-,-,-,2.357948,0.424098,0.732060,2,1,416,3184,1.250000,2.884600,3300,no
25,SELL,0.097945,21:07:23.354309802,no,-,-,-,-,2.593742,0.385543,0.732060,2,1,422,3178,1.250000,2.843600,3300,no
26,SELL,0.501338,21:07:23.354309802,no,-,-,-,-,2.853117,0.350494,0.732060,2,1,427,3173,1.250000,2.810300,3300,no
27,SELL,-0.167138,21:07:23.354309802,no,-,-,-,-,3.138428,0.318631,0.732060,2,1,431,3169,1.250000,2.784200,3300,no
28,SELL,-0.106058,21:07:23.354309802,no,-,-,-,-,3.452271,0.289664,0.732060,2,1,437,3163,1.250000,2.745900,3300,no
29,SELL,-0.917908,21:07:23.354309802,no,-,-,-,-,3.797498,0.263331,0.732060,2,1,441,3159,1.250000,2.721000,3300,no
30,SELL,-1.055603,21:07:23.354309802,no,-,-,-,-,4.177248,0.239392,0.732060,2,1,444,3156,1.250000,2.702700,3300,no
