轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.865017,21:07:23.342817864,yes,33.100000,bid1,100,00:00:00.000056033,0.909091,1.100000,0.735530,2,1,334,3266,1.250000,0.299400,4400,no
2,SELL,-0.739584,21:07:23.342817864,yes,33.100000,bid1,100,00:00:00.000036858,0.826446,1.210000,0.735530,2,1,339,3261,1.250000,0.589900,4300,no
3,SELL,-0.756826,21:07:23.342817864,yes,33.100000,bid1,100,00:00:00.000036756,0.751315,1.331000,0.735530,2,1,343,3257,1.250000,0.874600,4200,no
4,SELL,0.069139,21:07:23.342817864,no,-,-,-,-,0.683013,1.464100,0.735530,2,1,348,3252,1.250000,0.862000,4200,no
5,SELL,0.217001,21:07:23.342817864,no,-,-,-,-,0.620921,1.610510,0.735530,2,1,353,3247,1.250000,0.849800,4200,no
6,SELL,0.271945,21:07:23.342817864,no,-,-,-,-,0.564474,1.771561,0.735530,2,1,359,3241,1.250000,0.835600,4200,no
7,SELL,0.615628,21:07:23.342817864,no,-,-,-,-,0.513158,1.948717,0.735530,2,1,362,3238,1.250000,0.828700,4200,no
8,SELL,0.658492,21:07:23.342817864,no,-,-,-,-,0.466507,2.143589,0.735530,2,1,368,3232,1.250000,0.815200,4200,no
9,SELL,0.626220,21:07:23.342817864,no,-,-,-,-,0.424098,2.357948,0.735530,2,1,372,3228,1.250000,0.806400,4200,no
10,SELL,0.663323,21:07:23.342817864,no,-,-,-,-,0.385543,2.593742,0.735530,2,1,376,3224,1.250000,0.797800,4200,no
11,SELL,0.787595,21:07:23.342817864,no,-,-,-,-,0.350494,2.853117,0.735530,2,1,382,3218,1.250000,0.785300,4200,no
12,SELL,0.538912,21:07:23.342817864,no,-,-,-,-,0.318631,3.138428,0.735530,2,1,386,3214,1.250000,0.777200,4200,no
13,SELL,0.519431,21:07:23.342817864,no,-,-,-,-,0.289664,3.452271,0.735530,2,1,393,3207,1.250000,0.763300,4200,no
14,SELL,0.705165,21:07:23.342817864,no,-,-,-,-,0.263331,3.797498,0.735530,2,1,398,3202,1.250000,0.753700,4200,no
15,SELL,0.127819,21:07:23.342817864,no,-,-,-,-,0.239392,4.177248,0.735530,2,1,402,3198,1.250000,0.746200,4200,no
16,SELL,0.106469,21:07:23.342817864,no,-,-,-,-,0.217629,4.594973,0.735530,2,1,408,3192,1.250000,0.735200,4200,no
17,SELL,-0.023881,21:07:23.342817864,no,-,-,-,-,0.197845,5.054470,0.735530,2,1,411,3189,1.250000,0.729900,4200,no
18,SELL,0.377036,21:07:23.342817864,no,-,-,-,-,0.179859,5.559917,0.735530,2,1,414,3186,1.250000,0.724600,4200,no
19,SELL,0.361086,21:07:23.342817864,no,-,-,-,-,0.163508,6.115909,0.735530,2,1,419,3181,1.250000,0.715900,4200,no
20,SELL,0.509124,21:07:23.342817864,no,-,-,-,-,0.148644,6.727500,0.735530,2,1,425,3175,1.250000,0.705800,4200,no
21,SELL,0.053120,21:07:23.342817864,no,-,-,-,-,0.135131,7.400250,0.735530,2,1,428,3172,1.250000,0.700900,4200,no
22,SELL,0.551486,21:07:23.342817864,no,-,-,-,-,0.122846,8.140275,0.735530,2,1,433,3167,1.250000,0.692800,4200,no
23,SELL,0.526111,21:07:23.342817864,no,-,-,-,-,0.111678,8.954302,0.735530,2,1,439,3161,1.250000,0.683300,4200,no
24,SELL,0.681467,21:07:23.342817864,no,-,-,-,-,0.101526,9.849733,0.735530,2,1,443,3157,1.250000,0.677200,4200,no
25,SELL,0.426282,21:07:23.342817864,no,-,-,-,-,0.100000,10.000000,0.735530,2,1,447,3153,1.250000,0.671100,4200,no
26,SELL,-0.149193,21:07:23.342817864,yes,33.150000,bid1,1000,00:00:00.000035420,0.100000,10.000000,0.735530,2,1,452,3148,1.250000,0.663700,4200,no
27,SELL,0.031256,21:07:23.342817864,no,-,-,-,-,0.110000,9.090909,0.735530,2,1,458,3142,1.250000,2.838400,3200,no
28,SELL,0.587379,21:07:23.342817864,no,-,-,-,-,0.121000,8.264463,0.735530,2,1,463,3137,1.250000,2.807700,3200,no
29,SELL,0.650280,21:07:23.342817864,no,-,-,-,-,0.133100,7.513148,0.735530,2,1,466,3134,1.250000,2.789600,3200,no
30,SELL,0.515374,21:07:23.342817864,no,-,-,-,-,0.146410,6.830135,0.735530,2,1,471,3129,1.250000,2.760000,3200,no
31,SELL,0.445530,21:07:23.342817864,no,-,-,-,-,0.161051,6.209213,0.735530,2,1,475,3125,1.250000,2.736800,3200,no
32,SELL,0.089626,21:07:23.342817864,no,-,-,-,-,0.177156,5.644739,0.735530,2,1,480,3120,1.250000,2.708300,3200,no
33,SELL,0.200879,21:07:23.342817864,no,-,-,-,-,0.194872,5.131581,0.735530,2,1,485,3115,1.250000,2.680400,3200,no
34,SELL,-0.157672,21:07:23.342817864,yes,33.220000,bid1,400,00:00:00.000035664,0.214359,4.665074,0.735530,2,1,489,3111,1.250000,3.476400,2800,no
35,SELL,0.176107,21:07:23.342817864,no,-,-,-,-,0.235795,4.240976,0.735530,2,1,495,3105,1.250000,3.434300,2800,no
36,SELL,0.091967,21:07:23.342817864,no,-,-,-,-,0.259374,3.855433,0.735530,2,1,501,3099,1.250000,3.393200,2800,no
37,SELL,-0.319573,21:07:23.342817864,yes,33.200000,bid1,300,00:00:00.000045604,0.285312,3.504939,0.735530,2,1,505,3095,1.250000,3.960300,2500,no
38,SELL,-0.550186,21:07:23.342817864,yes,33.200000,bid1,300,00:00:00.000039342,0.313843,3.186308,0.735530,2,1,508,3092,1.250000,3.937000,2500,no
39,SELL,-0.385897,21:07:23.342817864,yes,33.200000,bid1,200,00:00:00.000035556,0.345227,2.896644,0.735530,2,1,514,3086,1.250000,4.474700,2200,no
40,SELL,0.167349,21:07:23.342817864,no,-,-,-,-,0.379750,2.633313,0.735530,2,1,519,3081,1.250000,4.816900,2000,no
41,SELL,0.440381,21:07:23.342817864,no,-,-,-,-,0.417725,2.393920,0.735530,2,1,524,3076,1.250000,4.770900,2000,no
42,SELL,0.305774,21:07:23.342817864,no,-,-,-,-,0.459497,2.176291,0.735530,2,1,529,3071,1.250000,4.725800,2000,no
43,SELL,-1.904685,21:07:23.342817864,yes,33.230000,bid1,100,00:00:00.000037736,0.505447,1.978447,0.735530,2,1,533,3067,1.250000,4.690400,2000,no
44,SELL,-1.152279,21:07:23.342817864,yes,33.230000,bid1,100,00:00:00.000064755,0.555992,1.798588,0.735530,2,1,538,3062,1.250000,4.832700,1900,no
45,SELL,-0.426062,21:07:23.342817864,no,-,-,-,-,0.611591,1.635080,0.735530,2,1,544,3056,1.250000,4.963200,1800,no
46,SELL,-1.256931,21:07:23.342817864,yes,33.300000,bid1,100,00:00:00.000036710,0.672750,1.486436,0.735530,2,1,548,3052,1.250000,4.927000,1800,no
