轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,1.276874,21:07:23.341189606,no,-,-,-,-,0.909091,1.100000,0.712529,2,1,332,3268,1.250000,0.000000,4500,no
2,SELL,0.956931,21:07:23.341189606,no,-,-,-,-,0.826446,1.210000,0.712529,2,1,337,3263,1.250000,0.000000,4500,no
3,SELL,0.992611,21:07:23.341189606,no,-,-,-,-,0.751315,1.331000,0.712529,2,1,342,3258,1.250000,0.000000,4500,no
4,SELL,1.117269,21:07:23.341189606,no,-,-,-,-,0.683013,1.464100,0.712529,2,1,347,3253,1.250000,0.000000,4500,no
5,SELL,1.082312,21:07:23.341189606,no,-,-,-,-,0.620921,1.610510,0.712529,2,1,352,3248,1.250000,0.000000,4500,no
6,SELL,2.013086,21:07:23.341189606,no,-,-,-,-,0.564474,1.771561,0.712529,2,1,358,3242,1.250000,0.000000,4500,no
7,SELL,1.188984,21:07:23.341189606,no,-,-,-,-,0.513158,1.948717,0.712529,2,1,361,3239,1.250000,0.000000,4500,no
8,SELL,1.185236,21:07:23.341189606,no,-,-,-,-,0.466507,2.143589,0.712529,2,1,365,3235,1.250000,0.000000,4500,no
9,SELL,0.861675,21:07:23.341189606,no,-,-,-,-,0.424098,2.357948,0.712529,2,1,370,3230,1.250000,0.000000,4500,no
10,SELL,1.087554,21:07:23.341189606,no,-,-,-,-,0.385543,2.593742,0.712529,2,1,375,3225,1.250000,0.000000,4500,no
11,SELL,0.611316,21:07:23.341189606,no,-,-,-,-,0.350494,2.853117,0.712529,2,1,380,3220,1.250000,0.000000,4500,no
12,SELL,0.632331,21:07:23.341189606,no,-,-,-,-,0.318631,3.138428,0.712529,2,1,384,3216,1.250000,0.000000,4500,no
13,SELL,0.777904,21:07:23.341189606,no,-,-,-,-,0.289664,3.452271,0.712529,2,1,391,3209,1.250000,0.000000,4500,no
14,SELL,1.065408,21:07:23.341189606,no,-,-,-,-,0.263331,3.797498,0.712529,2,1,397,3203,1.250000,0.000000,4500,no
15,SELL,0.853122,21:07:23.341189606,no,-,-,-,-,0.239392,4.177248,0.712529,2,1,401,3199,1.250000,0.000000,4500,no
16,SELL,1.227752,21:07:23.341189606,no,-,-,-,-,0.217629,4.594973,0.712529,2,1,406,3194,1.250000,0.000000,4500,no
