轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,-0.956586,21:07:23.358842825,no,-,-,-,-,0.909091,1.100000,0.630484,2,1,332,3268,1.250000,0.000000,4500,no
2,BUY,-0.893279,21:07:23.358842825,no,-,-,-,-,0.826446,1.210000,0.630484,2,1,335,3265,1.250000,0.000000,4500,no
3,BUY,-0.729386,21:07:23.358842825,no,-,-,-,-,0.751315,1.331000,0.630484,2,1,338,3262,1.250000,0.000000,4500,no
4,BUY,-1.462471,21:07:23.358842825,no,-,-,-,-,0.683013,1.464100,0.630484,2,1,342,3258,1.250000,0.000000,4500,no
5,BUY,-0.136409,21:07:23.358842825,no,-,-,-,-,0.620921,1.610510,0.630484,2,1,346,3254,1.250000,0.000000,4500,no
6,BUY,-0.501187,21:07:23.358842825,no,-,-,-,-,0.564474,1.771561,0.630484,2,1,350,3250,1.250000,0.000000,4500,no
7,BUY,-0.781702,21:07:23.358842825,no,-,-,-,-,0.513158,1.948717,0.630484,2,1,354,3246,1.250000,0.000000,4500,no
8,BUY,-0.303405,21:07:23.358842825,no,-,-,-,-,0.466507,2.143589,0.630484,2,1,359,3241,1.250000,0.000000,4500,no
9,BUY,-0.084308,21:07:23.358842825,no,-,-,-,-,0.424098,2.357948,0.630484,2,1,362,3238,1.250000,0.000000,4500,no
10,BUY,-0.365324,21:07:23.358842825,no,-,-,-,-,0.385543,2.593742,0.630484,2,1,366,3234,1.250000,0.000000,4500,no
11,BUY,-0.371076,21:07:23.358842825,no,-,-,-,-,0.350494,2.853117,0.630484,2,1,369,3231,1.250000,0.000000,4500,no
12,BUY,-0.304028,21:07:23.358842825,no,-,-,-,-,0.318631,3.138428,0.630484,2,1,372,3228,1.250000,0.000000,4500,no
13,BUY,-0.697042,21:07:23.358842825,no,-,-,-,-,0.289664,3.452271,0.630484,2,1,376,3224,1.250000,0.000000,4500,no
