轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,0.095723,21:07:23.357622023,no,-,-,-,-,0.909091,1.100000,0.572951,2,1,332,3268,57.500000,0.000000,207000,no
2,SELL,0.058855,21:07:23.357622023,no,-,-,-,-,0.826446,1.210000,0.572951,2,1,335,3265,57.500000,0.000000,207000,no
3,SELL,0.066579,21:07:23.357622023,no,-,-,-,-,0.751315,1.331000,0.572951,2,1,339,3261,57.500000,0.000000,207000,no
4,SELL,-0.015871,21:07:23.357622023,no,-,-,-,-,0.683013,1.464100,0.572951,2,1,343,3257,57.500000,0.000000,207000,no
5,SELL,-0.019388,21:07:23.357622023,no,-,-,-,-,0.620921,1.610510,0.572951,2,1,347,3253,57.500000,0.000000,207000,no
6,SELL,0.086894,21:07:23.357622023,no,-,-,-,-,0.564474,1.771561,0.572951,2,1,350,3250,57.500000,0.000000,207000,no
7,SELL,0.092839,21:07:23.357622023,no,-,-,-,-,0.513158,1.948717,0.572951,2,1,355,3245,57.500000,0.000000,207000,no
8,SELL,0.435022,21:07:23.357622023,no,-,-,-,-,0.466507,2.143589,0.572951,2,1,359,3241,57.500000,0.000000,207000,no
9,SELL,0.189060,21:07:23.357622023,no,-,-,-,-,0.424098,2.357948,0.572951,2,1,362,3238,57.500000,0.000000,207000,no
10,SELL,0.155732,21:07:23.357622023,no,-,-,-,-,0.385543,2.593742,0.572951,2,1,366,3234,57.500000,0.000000,207000,no
11,SELL,-0.206483,21:07:23.357622023,yes,6.990000,bid1,500,00:00:00.000044358,0.350494,2.853117,0.572951,2,1,369,3231,57.500000,1.355000,206500,no
12,SELL,-0.082184,21:07:23.357622023,no,-,-,-,-,0.318631,3.138428,0.572951,2,1,373,3227,57.500000,1.340400,206500,no
13,SELL,-0.181574,21:07:23.357622023,yes,6.990000,bid1,600,00:00:00.000042401,0.289664,3.452271,0.572951,2,1,376,3224,57.500000,2.925500,205900,no
14,SELL,-0.245221,21:07:23.357622023,yes,6.990000,bid1,700,00:00:00.000036113,0.263331,3.797498,0.572951,2,1,387,3213,57.500000,4.651100,205200,no
15,SELL,-0.376508,21:07:23.357622023,yes,6.990000,bid1,800,00:00:00.000035941,0.239392,4.177248,0.572951,2,1,392,3208,57.500000,6.632600,204400,no
16,SELL,-0.319197,21:07:23.357622023,yes,6.990000,bid1,900,00:00:00.000035332,0.217629,4.594973,0.572951,2,1,396,3204,57.500000,8.838300,203500,no
17,SELL,-0.122307,21:07:23.357622023,yes,6.990000,bid1,1000,00:00:00.000042995,0.197845,5.054470,0.572951,2,1,398,3202,57.500000,11.306500,202500,no
18,SELL,-0.274523,21:07:23.357622023,yes,6.990000,bid1,1100,00:00:00.000039402,0.179859,5.559917,0.572951,2,1,402,3198,57.500000,13.930300,201400,no
19,SELL,-0.242944,21:07:23.357622023,yes,6.990000,bid1,1200,00:00:00.000051226,0.163508,6.115909,0.572951,2,1,406,3194,57.500000,16.748700,200200,no
20,SELL,-0.158089,21:07:23.357622023,yes,6.990000,bid1,1300,00:00:00.000037834,0.148644,6.727500,0.572951,2,1,409,3191,57.500000,19.804400,198900,no
21,SELL,-0.610739,21:07:23.357622023,yes,6.990000,bid1,1400,00:00:00.000049923,0.135131,7.400250,0.572951,2,1,412,3188,57.500000,23.058200,197500,no
22,SELL,-0.459419,21:07:23.357622023,yes,6.990000,bid1,1600,00:00:00.000036048,0.122846,8.140275,0.572951,2,1,416,3184,57.500000,26.682600,195900,no
23,SELL,-0.027456,21:07:23.357622023,no,-,-,-,-,0.111678,8.954302,0.572951,2,1,421,3179,57.500000,26.365700,195900,no
24,SELL,-0.176230,21:07:23.357622023,yes,6.990000,bid1,1900,00:00:00.000037622,0.101526,9.849733,0.572951,2,1,426,3174,57.500000,30.516400,194000,no
25,SELL,-0.178285,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000035998,0.100000,10.000000,0.572951,2,1,431,3169,57.500000,34.802700,192000,no
26,SELL,-0.296386,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000049797,0.100000,10.000000,0.572951,2,1,437,3163,57.500000,38.901600,190000,no
27,SELL,-0.140953,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000036230,0.100000,10.000000,0.572951,2,1,440,3160,57.500000,38.636300,190000,no
28,SELL,-0.261054,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000041559,0.100000,10.000000,0.572951,2,1,444,3156,57.500000,47.297200,186000,no
29,SELL,-0.221966,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000036176,0.100000,10.000000,0.572951,2,1,447,3153,57.500000,51.454100,184000,no
30,SELL,-0.227676,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000040386,0.100000,10.000000,0.572951,2,1,451,3149,57.500000,55.432300,182000,no
31,SELL,-0.113413,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000053984,0.100000,10.000000,0.572951,2,1,456,3144,57.500000,59.210500,180000,no
32,SELL,-0.202880,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000037463,0.100000,10.000000,0.572951,2,1,464,3136,57.500000,62.500000,178000,no
33,SELL,-0.311532,21:07:23.357622023,yes,6.990000,bid1,2000,00:00:00.000038968,0.100000,10.000000,0.572951,2,1,466,3134,57.500000,66.523600,176000,no
34,SELL,0.464643,21:07:23.357622023,no,-,-,-,-,0.100000,10.000000,0.572951,2,1,470,3130,57.500000,65.957400,176000,no
35,SELL,0.757359,21:07:23.357622023,no,-,-,-,-,0.100000,10.000000,0.572951,2,1,474,3126,57.500000,65.400800,176000,no
36,SELL,0.292154,21:07:23.357622023,no,-,-,-,-,0.100000,10.000000,0.572951,2,1,479,3121,57.500000,64.718100,176000,no
37,SELL,0.095657,21:07:23.357622023,no,-,-,-,-,0.100000,10.000000,0.572951,2,1,482,3118,57.500000,64.315300,176000,no
