轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,0.683388,21:07:23.352355938,no,-,-,-,-,0.909091,1.100000,0.731787,2,1,330,3270,2.500000,0.000000,9000,no
2,SELL,0.923474,21:07:23.352355938,no,-,-,-,-,0.826446,1.210000,0.731787,2,1,334,3266,2.500000,0.000000,9000,no
3,SELL,1.079021,21:07:23.352355938,no,-,-,-,-,0.751315,1.331000,0.731787,2,1,339,3261,2.500000,0.000000,9000,no
4,SELL,0.844596,21:07:23.352355938,no,-,-,-,-,0.683013,1.464100,0.731787,2,1,348,3252,2.500000,0.000000,9000,no
5,SELL,0.641489,21:07:23.352355938,no,-,-,-,-,0.620921,1.610510,0.731787,2,1,353,3247,2.500000,0.000000,9000,no
6,SELL,0.533495,21:07:23.352355938,no,-,-,-,-,0.564474,1.771561,0.731787,2,1,359,3241,2.500000,0.000000,9000,no
7,SELL,0.217943,21:07:23.352355938,no,-,-,-,-,0.513158,1.948717,0.731787,2,1,378,3222,2.500000,0.000000,9000,no
8,SELL,0.041474,21:07:23.352355938,no,-,-,-,-,0.466507,2.143589,0.731787,2,1,388,3212,2.500000,0.000000,9000,no
9,SELL,-0.039414,21:07:23.352355938,no,-,-,-,-,0.424098,2.357948,0.731787,2,1,393,3207,2.500000,0.000000,9000,no
10,SELL,0.266663,21:07:23.352355938,no,-,-,-,-,0.385543,2.593742,0.731787,2,1,398,3202,2.500000,0.000000,9000,no
11,SELL,-0.163586,21:07:23.352355938,no,-,-,-,-,0.350494,2.853117,0.731787,2,1,403,3197,2.500000,0.000000,9000,no
12,SELL,-0.138385,21:07:23.352355938,no,-,-,-,-,0.318631,3.138428,0.731787,2,1,408,3192,2.500000,0.000000,9000,no
13,SELL,-0.272431,21:07:23.352355938,yes,137.180000,bid1,300,00:00:00.000037148,0.289664,3.452271,0.731787,2,1,414,3186,2.500000,0.724600,8700,no
14,SELL,0.037612,21:07:23.352355938,no,-,-,-,-,0.263331,3.797498,0.731787,2,1,439,3161,2.500000,0.683300,8700,no
15,SELL,0.187508,21:07:23.352355938,no,-,-,-,-,0.239392,4.177248,0.731787,2,1,443,3157,2.500000,0.677200,8700,no
16,SELL,0.045713,21:07:23.352355938,no,-,-,-,-,0.217629,4.594973,0.731787,2,1,453,3147,2.500000,0.662200,8700,no
17,SELL,-0.166948,21:07:23.352355938,yes,137.180000,bid1,500,00:00:00.000037607,0.197845,5.054470,0.731787,2,1,463,3137,2.500000,1.727800,8200,no
18,SELL,-0.315486,21:07:23.352355938,yes,137.180000,bid1,500,00:00:00.000036118,0.179859,5.559917,0.731787,2,1,477,3123,2.500000,2.725300,7700,no
19,SELL,-0.669401,21:07:23.352355938,yes,137.180000,bid1,500,00:00:00.000041108,0.179859,5.559917,0.731787,2,1,481,3119,2.500000,2.702700,7700,no
20,SELL,-1.225208,21:07:23.352355938,yes,137.170000,bid1,500,00:00:00.000043383,0.179859,5.559917,0.731787,2,1,485,3115,2.500000,4.742200,6700,no
21,SELL,0.110990,21:07:23.352355938,no,-,-,-,-,0.179859,5.559917,0.731787,2,1,489,3111,2.500000,4.703400,6700,no
22,SELL,-0.562712,21:07:23.352355938,yes,137.240000,bid1,500,00:00:00.000038599,0.179859,5.559917,0.731787,2,1,495,3105,2.500000,4.646400,6700,no
23,SELL,-0.939471,21:07:23.352355938,yes,137.240000,bid1,500,00:00:00.000035920,0.197845,5.054470,0.731787,2,1,501,3099,2.500000,6.586800,5700,no
24,SELL,-0.988500,21:07:23.352355938,yes,137.240000,bid1,400,00:00:00.000035468,0.217629,4.594973,0.731787,2,1,505,3095,2.500000,7.326700,5300,no
25,SELL,-1.254791,21:07:23.352355938,yes,137.220000,bid1,400,00:00:00.000045220,0.239392,4.177248,0.731787,2,1,509,3091,2.500000,7.269100,5300,no
26,SELL,-0.887060,21:07:23.352355938,yes,137.180000,bid1,300,00:00:00.000036558,0.263331,3.797498,0.731787,2,1,515,3085,2.500000,8.543600,4600,no
27,SELL,-0.805122,21:07:23.352355938,yes,137.220000,bid1,300,00:00:00.000036733,0.289664,3.452271,0.731787,2,1,520,3080,2.500000,8.461500,4600,no
