轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,-0.868562,21:07:23.362792027,no,-,-,-,-,0.909091,1.100000,0.689395,2,1,332,3268,3.750000,0.000000,13500,no
2,BUY,-0.445615,21:07:23.362792027,no,-,-,-,-,0.826446,1.210000,0.689395,2,1,335,3265,3.750000,0.000000,13500,no
3,BUY,-0.626802,21:07:23.362792027,no,-,-,-,-,0.751315,1.331000,0.689395,2,1,339,3261,3.750000,0.000000,13500,no
4,BUY,-0.196203,21:07:23.362792027,no,-,-,-,-,0.683013,1.464100,0.689395,2,1,343,3257,3.750000,0.000000,13500,no
5,BUY,-0.261378,21:07:23.362792027,no,-,-,-,-,0.620921,1.610510,0.689395,2,1,347,3253,3.750000,0.000000,13500,no
6,BUY,0.151800,21:07:23.362792027,no,-,-,-,-,0.564474,1.771561,0.689395,2,1,350,3250,3.750000,0.000000,13500,no
7,BUY,0.124480,21:07:23.362792027,no,-,-,-,-,0.513158,1.948717,0.689395,2,1,354,3246,3.750000,0.000000,13500,no
8,BUY,0.089608,21:07:23.362792027,no,-,-,-,-,0.466507,2.143589,0.689395,2,1,359,3241,3.750000,0.000000,13500,no
9,BUY,0.157796,21:07:23.362792027,no,-,-,-,-,0.424098,2.357948,0.689395,2,1,362,3238,3.750000,0.000000,13500,no
10,BUY,0.716712,21:07:23.362792027,yes,12.969900,ask1,200,00:00:00.000037412,0.385543,2.593742,0.689395,2,1,366,3234,3.750000,0.546400,13300,no
11,BUY,0.685395,21:07:23.362792027,yes,12.969900,ask1,200,00:00:00.000060073,0.350494,2.853117,0.689395,2,1,369,3231,3.750000,1.084000,13100,no
12,BUY,0.656615,21:07:23.362792027,yes,12.969900,ask1,300,00:00:00.000045174,0.318631,3.138428,0.689395,2,1,372,3228,3.750000,1.881700,12800,no
13,BUY,0.817907,21:07:23.362792027,yes,12.959900,ask1,300,00:00:00.000037175,0.289664,3.452271,0.689395,2,1,376,3224,3.750000,2.659500,12500,no
14,BUY,1.151032,21:07:23.362792027,yes,12.959900,ask1,300,00:00:00.000045812,0.263331,3.797498,0.689395,2,1,380,3220,3.750000,3.421000,12200,no
15,BUY,0.177556,21:07:23.362792027,yes,12.969900,ask1,400,00:00:00.000038937,0.239392,4.177248,0.689395,2,1,382,3218,3.750000,4.450200,11800,no
16,BUY,0.276972,21:07:23.362792027,yes,12.969900,ask1,400,00:00:00.000037434,0.239392,4.177248,0.689395,2,1,386,3214,3.750000,5.440400,11400,no
17,BUY,0.309525,21:07:23.362792027,yes,12.969900,ask1,400,00:00:00.000037404,0.239392,4.177248,0.689395,2,1,392,3208,3.750000,6.377500,11000,no
18,BUY,0.172975,21:07:23.362792027,yes,12.969900,ask1,400,00:00:00.000038489,0.239392,4.177248,0.689395,2,1,396,3204,3.750000,7.323200,10600,no
19,BUY,0.153664,21:07:23.362792027,no,-,-,-,-,0.239392,4.177248,0.689395,2,1,398,3202,3.750000,7.286400,10600,no
20,BUY,0.038978,21:07:23.362792027,no,-,-,-,-,0.239392,4.177248,0.689395,2,1,402,3198,3.750000,7.213900,10600,no
21,BUY,0.123304,21:07:23.362792027,no,-,-,-,-,0.239392,4.177248,0.689395,2,1,406,3194,3.750000,7.142800,10600,no
22,BUY,0.197107,21:07:23.362792027,yes,12.969900,ask1,400,00:00:00.000037166,0.239392,4.177248,0.689395,2,1,409,3191,3.750000,8.068400,10200,no
23,BUY,0.433894,21:07:23.362792027,yes,12.969900,ask1,300,00:00:00.000037277,0.263331,3.797498,0.689395,2,1,412,3188,3.750000,8.737800,9900,no
24,BUY,-0.098779,21:07:23.362792027,no,-,-,-,-,0.289664,3.452271,0.689395,2,1,416,3184,3.750000,8.653800,9900,no
25,BUY,-0.470623,21:07:23.362792027,no,-,-,-,-,0.318631,3.138428,0.689395,2,1,421,3179,3.750000,8.551000,9900,no
26,BUY,-0.105639,21:07:23.362792027,no,-,-,-,-,0.350494,2.853117,0.689395,2,1,426,3174,3.750000,8.450700,9900,no
27,BUY,-0.225736,21:07:23.362792027,no,-,-,-,-,0.385543,2.593742,0.689395,2,1,431,3169,3.750000,8.352600,9900,no
28,BUY,0.508287,21:07:23.362792027,yes,12.969900,ask1,200,00:00:00.000041694,0.424098,2.357948,0.689395,2,1,436,3164,3.750000,8.256800,9900,no
29,BUY,-1.159922,21:07:23.362792027,no,-,-,-,-,0.466507,2.143589,0.689395,2,1,440,3160,3.750000,8.636300,9700,no
30,BUY,-0.636912,21:07:23.362792027,no,-,-,-,-,0.513158,1.948717,0.689395,2,1,444,3156,3.750000,8.558500,9700,no
31,BUY,-0.353133,21:07:23.362792027,no,-,-,-,-,0.564474,1.771561,0.689395,2,1,447,3153,3.750000,8.501100,9700,no
32,BUY,-0.489542,21:07:23.362792027,no,-,-,-,-,0.620921,1.610510,0.689395,2,1,451,3149,3.750000,8.425700,9700,no
33,BUY,-0.354023,21:07:23.362792027,no,-,-,-,-,0.683013,1.464100,0.689395,2,1,456,3144,3.750000,8.333300,9700,no
34,BUY,-0.366171,21:07:23.362792027,no,-,-,-,-,0.751315,1.331000,0.689395,2,1,459,3141,3.750000,8.278800,9700,no
35,BUY,-0.542299,21:07:23.362792027,no,-,-,-,-,0.826446,1.210000,0.689395,2,1,464,3136,3.750000,8.189600,9700,no
36,BUY,-0.577446,21:07:23.362792027,no,-,-,-,-,0.909091,1.100000,0.689395,2,1,466,3134,3.750000,8.154500,9700,no
37,BUY,-0.630703,21:07:23.362792027,no,-,-,-,-,1.000000,1.000000,0.689395,2,1,470,3130,3.750000,8.085100,9700,no
38,BUY,-0.393312,21:07:23.362792027,no,-,-,-,-,1.100000,0.909091,0.689395,2,1,474,3126,3.750000,8.016800,9700,no
