轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,1.324225,21:07:23.335740550,yes,7.310000,ask1,100,00:00:00.000060093,0.909091,1.100000,0.815423,2,1,332,3268,5.000000,0.301200,17900,no
2,BUY,0.178430,21:07:23.335740550,no,-,-,-,-,0.826446,1.210000,0.815423,2,1,336,3264,5.000000,0.297600,17900,no
3,BUY,0.636556,21:07:23.335740550,yes,7.320000,ask1,100,00:00:00.000049756,0.751315,1.331000,0.815423,2,1,339,3261,5.000000,0.589900,17800,no
4,BUY,0.684641,21:07:23.335740550,yes,7.320000,ask1,100,00:00:00.000036109,0.683013,1.464100,0.815423,2,1,343,3257,5.000000,0.874600,17700,no
5,BUY,0.555051,21:07:23.335740550,yes,7.320000,ask1,100,00:00:00.000044905,0.620921,1.610510,0.815423,2,1,347,3253,5.000000,1.152700,17600,no
6,BUY,0.622560,21:07:23.335740550,yes,7.320000,ask1,100,00:00:00.000036165,0.564474,1.771561,0.815423,2,1,351,3249,5.000000,1.424500,17500,no
7,BUY,1.189525,21:07:23.335740550,yes,7.310000,ask1,100,00:00:00.000045247,0.513158,1.948717,0.815423,2,1,356,3244,5.000000,1.685300,17400,no
8,BUY,0.799923,21:07:23.335740550,yes,7.310000,ask1,200,00:00:00.000068482,0.466507,2.143589,0.815423,2,1,360,3240,5.000000,1.666600,17400,no
9,BUY,1.363543,21:07:23.335740550,yes,7.310000,ask1,200,00:00:00.000043323,0.424098,2.357948,0.815423,2,1,363,3237,5.000000,2.754800,17000,no
10,BUY,0.609518,21:07:23.335740550,yes,7.310000,ask1,200,00:00:00.000043897,0.385543,2.593742,0.815423,2,1,367,3233,5.000000,2.724700,17000,no
11,BUY,0.619397,21:07:23.335740550,yes,7.310000,ask1,200,00:00:00.000042709,0.350494,2.853117,0.815423,2,1,370,3230,5.000000,3.783700,16600,no
12,BUY,0.935674,21:07:23.335740550,yes,7.310000,ask1,300,00:00:00.000037582,0.318631,3.138428,0.815423,2,1,373,3227,5.000000,4.557600,16300,no
13,BUY,0.793779,21:07:23.335740550,yes,7.310000,ask1,300,00:00:00.000040216,0.289664,3.452271,0.815423,2,1,377,3223,5.000000,5.305000,16000,no
