轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,0.116611,21:07:23.345674783,no,-,-,-,-,0.909091,1.100000,0.604418,2,1,331,3269,11.250000,0.000000,40500,no
2,SELL,0.063972,21:07:23.345674783,no,-,-,-,-,0.826446,1.210000,0.604418,2,1,336,3264,11.250000,0.000000,40500,no
3,SELL,0.201605,21:07:23.345674783,no,-,-,-,-,0.751315,1.331000,0.604418,2,1,341,3259,11.250000,0.000000,40500,no
4,SELL,-0.264978,21:07:23.345674783,no,-,-,-,-,0.683013,1.464100,0.604418,2,1,347,3253,11.250000,0.000000,40500,no
5,SELL,-0.184345,21:07:23.345674783,no,-,-,-,-,0.620921,1.610510,0.604418,2,1,350,3250,11.250000,0.000000,40500,no
6,SELL,0.113191,21:07:23.345674783,no,-,-,-,-,0.564474,1.771561,0.604418,2,1,356,3244,11.250000,0.000000,40500,no
7,SELL,-0.024605,21:07:23.345674783,no,-,-,-,-,0.513158,1.948717,0.604418,2,1,360,3240,11.250000,0.000000,40500,no
8,SELL,-0.222464,21:07:23.345674783,no,-,-,-,-,0.466507,2.143589,0.604418,2,1,364,3236,11.250000,0.000000,40500,no
9,SELL,-0.023342,21:07:23.345674783,no,-,-,-,-,0.424098,2.357948,0.604418,2,1,369,3231,11.250000,0.000000,40500,no
10,SELL,-0.380759,21:07:23.345674783,yes,14.250000,bid1,200,00:00:00.000034626,0.385543,2.593742,0.604418,2,1,374,3226,11.250000,0.000000,40500,no
11,SELL,-1.076870,21:07:23.345674783,yes,14.250000,bid1,200,00:00:00.000035255,0.350494,2.853117,0.604418,2,1,378,3222,11.250000,1.058200,40100,no
12,SELL,-1.309350,21:07:23.345674783,yes,14.250000,bid1,300,00:00:00.000036325,0.318631,3.138428,0.604418,2,1,384,3216,11.250000,1.822900,39800,no
13,SELL,-0.694193,21:07:23.345674783,yes,14.230000,bid1,300,00:00:00.000071858,0.289664,3.452271,0.604418,2,1,390,3210,11.250000,2.564100,39500,no
14,SELL,-0.596150,21:07:23.345674783,yes,14.240000,bid1,300,00:00:00.000035171,0.263331,3.797498,0.604418,2,1,395,3205,11.250000,3.291100,39200,no
15,SELL,-0.103992,21:07:23.345674783,no,-,-,-,-,0.239392,4.177248,0.604418,2,1,399,3201,11.250000,3.258100,39200,no
16,SELL,-0.701074,21:07:23.345674783,yes,14.230000,bid1,400,00:00:00.000034323,0.217629,4.594973,0.604418,2,1,405,3195,11.250000,4.197500,38800,no
17,SELL,-0.082436,21:07:23.345674783,no,-,-,-,-,0.197845,5.054470,0.604418,2,1,410,3190,11.250000,4.146300,38800,no
18,SELL,-0.543361,21:07:23.345674783,yes,14.250000,bid1,500,00:00:00.000033997,0.179859,5.559917,0.604418,2,1,412,3188,11.250000,4.126200,38800,no
19,SELL,-0.308159,21:07:23.345674783,yes,14.250000,bid1,600,00:00:00.000038002,0.163508,6.115909,0.604418,2,1,417,3183,11.250000,5.275700,38300,no
20,SELL,-0.280158,21:07:23.345674783,yes,14.250000,bid1,600,00:00:00.000041366,0.148644,6.727500,0.604418,2,1,421,3179,11.250000,8.076000,37100,no
21,SELL,-0.104615,21:07:23.345674783,yes,14.260000,bid1,700,00:00:00.000034001,0.135131,7.400250,0.604418,2,1,426,3174,11.250000,9.624400,36400,no
22,SELL,-0.341549,21:07:23.345674783,yes,14.260000,bid1,800,00:00:00.000042596,0.122846,8.140275,0.604418,2,1,431,3169,11.250000,9.512700,36400,no
23,SELL,-0.920350,21:07:23.345674783,yes,14.260000,bid1,800,00:00:00.000036077,0.111678,8.954302,0.604418,2,1,436,3164,11.250000,13.073300,34800,no
24,SELL,-0.475876,21:07:23.345674783,yes,14.250000,bid1,800,00:00:00.000035342,0.111678,8.954302,0.604418,2,1,441,3159,11.250000,12.925100,34800,no
25,SELL,-0.594671,21:07:23.345674783,yes,14.250000,bid1,800,00:00:00.000037161,0.111678,8.954302,0.604418,2,1,444,3156,11.250000,16.441400,33200,no
26,SELL,-0.882378,21:07:23.345674783,yes,14.250000,bid1,800,00:00:00.000042987,0.111678,8.954302,0.604418,2,1,449,3151,11.250000,18.040000,32400,no
27,SELL,0.033269,21:07:23.345674783,no,-,-,-,-,0.111678,8.954302,0.604418,2,1,455,3145,11.250000,17.802100,32400,no
28,SELL,0.107874,21:07:23.345674783,no,-,-,-,-,0.111678,8.954302,0.604418,2,1,459,3141,11.250000,17.647000,32400,no
29,SELL,-0.415891,21:07:23.345674783,yes,14.240000,bid1,800,00:00:00.000037452,0.111678,8.954302,0.604418,2,1,465,3135,11.250000,19.139700,31600,no
30,SELL,-0.021714,21:07:23.345674783,no,-,-,-,-,0.111678,8.954302,0.604418,2,1,468,3132,11.250000,19.017000,31600,no
31,SELL,-0.288879,21:07:23.345674783,yes,14.240000,bid1,800,00:00:00.000038779,0.111678,8.954302,0.604418,2,1,473,3127,11.250000,20.507300,30800,no
32,SELL,-0.163780,21:07:23.345674783,yes,14.240000,bid1,800,00:00:00.000036009,0.111678,8.954302,0.604418,2,1,478,3122,11.250000,21.966500,30000,no
33,SELL,-0.392045,21:07:23.345674783,yes,14.240000,bid1,800,00:00:00.000036843,0.111678,8.954302,0.604418,2,1,483,3117,11.250000,23.395400,29200,no
34,SELL,-0.163571,21:07:23.345674783,yes,14.240000,bid1,800,00:00:00.000036879,0.122846,8.140275,0.604418,2,1,487,3113,11.250000,23.203200,29200,no
35,SELL,-0.829188,21:07:23.345674783,yes,14.260000,bid1,700,00:00:00.000035394,0.135131,7.400250,0.604418,2,1,497,3103,11.250000,25.754500,27700,no
36,SELL,-0.283856,21:07:23.345674783,yes,14.240000,bid1,600,00:00:00.000036582,0.148644,6.727500,0.604418,2,1,502,3098,11.250000,25.498000,27700,no
37,SELL,-0.446480,21:07:23.345674783,yes,14.250000,bid1,600,00:00:00.000037484,0.163508,6.115909,0.604418,2,1,507,3093,11.250000,26.429900,27100,no
38,SELL,-0.625613,21:07:23.345674783,yes,14.250000,bid1,500,00:00:00.000036446,0.179859,5.559917,0.604418,2,1,511,3089,11.250000,27.397200,26500,no
39,SELL,-0.568383,21:07:23.345674783,yes,14.250000,bid1,500,00:00:00.000037130,0.197845,5.054470,0.604418,2,1,516,3084,11.250000,28.100700,26000,no
40,SELL,0.194896,21:07:23.345674783,no,-,-,-,-,0.217629,4.594973,0.604418,2,1,531,3069,11.250000,28.248500,25500,no
41,SELL,-0.292830,21:07:23.345674783,yes,14.260000,bid1,400,00:00:00.000037755,0.239392,4.177248,0.604418,2,1,536,3064,11.250000,27.985000,25500,no
42,SELL,-0.677497,21:07:23.345674783,yes,14.260000,bid1,300,00:00:00.000037085,0.263331,3.797498,0.604418,2,1,541,3059,11.250000,28.465800,25100,no
43,SELL,-0.819559,21:07:23.345674783,yes,14.260000,bid1,300,00:00:00.000033900,0.289664,3.452271,0.604418,2,1,545,3055,11.250000,28.807300,24800,no
44,SELL,-0.630268,21:07:23.345674783,yes,14.260000,bid1,300,00:00:00.000035892,0.318631,3.138428,0.604418,2,1,550,3050,11.250000,29.090900,24500,no
45,SELL,-0.795950,21:07:23.345674783,yes,14.260000,bid1,200,00:00:00.000036719,0.350494,2.853117,0.604418,2,1,556,3044,11.250000,29.316500,24200,no
46,SELL,-0.699455,21:07:23.345674783,yes,14.260000,bid1,200,00:00:00.000036402,0.385543,2.593742,0.604418,2,1,560,3040,11.250000,29.821400,23800,no
47,SELL,-0.786367,21:07:23.345674783,yes,14.260000,bid1,200,00:00:00.000034586,0.424098,2.357948,0.604418,2,1,567,3033,11.250000,29.805900,23600,no
48,SELL,-0.699258,21:07:23.345674783,yes,14.260000,bid1,200,00:00:00.000036926,0.466507,2.143589,0.604418,2,1,570,3030,11.250000,29.649100,23600,no
49,SELL,-0.539810,21:07:23.345674783,yes,14.260000,bid1,100,00:00:00.000037088,0.513158,1.948717,0.604418,2,1,577,3023,11.250000,29.636000,23400,no
50,SELL,-0.571018,21:07:23.345674783,yes,14.260000,bid1,100,00:00:00.000038449,0.564474,1.771561,0.604418,2,1,581,3019,11.250000,29.776200,23200,no
51,SELL,-0.580342,21:07:23.345674783,yes,14.260000,bid1,100,00:00:00.000035846,0.620921,1.610510,0.604418,2,1,585,3015,11.250000,29.743500,23100,no
52,SELL,-0.678571,21:07:23.345674783,yes,14.260000,bid1,100,00:00:00.000037717,0.683013,1.464100,0.604418,2,1,590,3010,11.250000,29.661000,23000,no
53,SELL,-1.244906,21:07:23.345674783,yes,14.270000,bid1,100,00:00:00.000037598,0.751315,1.331000,0.604418,2,1,595,3005,11.250000,29.411700,23000,no
54,SELL,-1.215302,21:07:23.345674783,yes,14.270000,bid1,100,00:00:00.000036856,0.826446,1.210000,0.604418,2,1,602,2998,11.250000,29.235800,22900,no
55,SELL,-0.763394,21:07:23.345674783,yes,14.270000,bid1,100,00:00:00.000036247,0.909091,1.100000,0.604418,2,1,606,2994,11.250000,29.207900,22800,no
56,SELL,-0.618259,21:07:23.345674783,no,-,-,-,-,1.000000,1.000000,0.604418,2,1,612,2988,11.250000,29.084900,22700,no
57,SELL,-0.767383,21:07:23.345674783,no,-,-,-,-,1.100000,0.909091,0.604418,2,1,618,2982,11.250000,28.802500,22700,no
