轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,-0.429175,21:07:23.362597869,no,-,-,-,-,0.909091,1.100000,0.705879,2,1,332,3268,7.500000,0.000000,27000,no
2,BUY,-0.133619,21:07:23.362597869,no,-,-,-,-,0.826446,1.210000,0.705879,2,1,335,3265,7.500000,0.000000,27000,no
3,BUY,-0.498213,21:07:23.362597869,no,-,-,-,-,0.751315,1.331000,0.705879,2,1,338,3262,7.500000,0.000000,27000,no
4,BUY,-0.122850,21:07:23.362597869,no,-,-,-,-,0.683013,1.464100,0.705879,2,1,342,3258,7.500000,0.000000,27000,no
5,BUY,-0.394307,21:07:23.362597869,no,-,-,-,-,0.620921,1.610510,0.705879,2,1,346,3254,7.500000,0.000000,27000,no
6,BUY,-0.533474,21:07:23.362597869,no,-,-,-,-,0.564474,1.771561,0.705879,2,1,350,3250,7.500000,0.000000,27000,no
7,BUY,-0.460518,21:07:23.362597869,no,-,-,-,-,0.513158,1.948717,0.705879,2,1,354,3246,7.500000,0.000000,27000,no
8,BUY,-0.427377,21:07:23.362597869,no,-,-,-,-,0.466507,2.143589,0.705879,2,1,359,3241,7.500000,0.000000,27000,no
9,BUY,-0.638799,21:07:23.362597869,no,-,-,-,-,0.424098,2.357948,0.705879,2,1,362,3238,7.500000,0.000000,27000,no
10,BUY,-0.472397,21:07:23.362597869,no,-,-,-,-,0.385543,2.593742,0.705879,2,1,366,3234,7.500000,0.000000,27000,no
11,BUY,-0.082717,21:07:23.362597869,no,-,-,-,-,0.350494,2.853117,0.705879,2,1,369,3231,7.500000,0.000000,27000,no
12,BUY,0.182308,21:07:23.362597869,no,-,-,-,-,0.318631,3.138428,0.705879,2,1,372,3228,7.500000,0.000000,27000,no
13,BUY,-0.326437,21:07:23.362597869,no,-,-,-,-,0.289664,3.452271,0.705879,2,1,376,3224,7.500000,0.000000,27000,no
14,BUY,-0.345189,21:07:23.362597869,no,-,-,-,-,0.263331,3.797498,0.705879,2,1,380,3220,7.500000,0.000000,27000,no
15,BUY,-0.160680,21:07:23.362597869,no,-,-,-,-,0.239392,4.177248,0.705879,2,1,382,3218,7.500000,0.000000,27000,no
16,BUY,0.011793,21:07:23.362597869,no,-,-,-,-,0.217629,4.594973,0.705879,2,1,386,3214,7.500000,0.000000,27000,no
17,BUY,0.633851,21:07:23.362597869,yes,4.830000,ask1,500,00:00:00.000038079,0.197845,5.054470,0.705879,2,1,392,3208,7.500000,1.275500,26500,no
18,BUY,0.982101,21:07:23.362597869,yes,4.830000,ask1,500,00:00:00.000037004,0.179859,5.559917,0.705879,2,1,396,3204,7.500000,2.525200,26000,no
19,BUY,1.796670,21:07:23.362597869,yes,4.830000,ask1,600,00:00:00.000037172,0.163508,6.115909,0.705879,2,1,398,3202,7.500000,4.020100,25400,no
20,BUY,1.199067,21:07:23.362597869,yes,4.830000,ask1,600,00:00:00.000041709,0.148644,6.727500,0.705879,2,1,402,3198,7.500000,5.472600,24800,no
21,BUY,0.874829,21:07:23.362597869,yes,4.830000,ask1,700,00:00:00.000057733,0.135131,7.400250,0.705879,2,1,406,3194,7.500000,7.142800,24100,no
22,BUY,1.316726,21:07:23.362597869,yes,4.830000,ask1,800,00:00:00.000036400,0.122846,8.140275,0.705879,2,1,409,3191,7.500000,9.046400,23300,no
23,BUY,1.408373,21:07:23.362597869,yes,4.830000,ask1,800,00:00:00.000037415,0.122846,8.140275,0.705879,2,1,411,3189,7.500000,10.948900,22500,no
24,BUY,0.110830,21:07:23.362597869,yes,4.840000,ask1,800,00:00:00.000036068,0.122846,8.140275,0.705879,2,1,415,3185,7.500000,12.771000,21700,no
25,BUY,-0.156101,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,420,3180,7.500000,12.619000,21700,no
26,BUY,-0.453551,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,425,3175,7.500000,12.470500,21700,no
27,BUY,-0.137294,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,430,3170,7.500000,12.325500,21700,no
28,BUY,-0.402428,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,436,3164,7.500000,12.155900,21700,no
29,BUY,-0.092014,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,440,3160,7.500000,12.045400,21700,no
30,BUY,0.196345,21:07:23.362597869,yes,4.840000,ask1,800,00:00:00.000039469,0.122846,8.140275,0.705879,2,1,444,3156,7.500000,13.738700,20900,no
31,BUY,0.019005,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,447,3153,7.500000,13.646500,20900,no
32,BUY,-0.023539,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,451,3149,7.500000,13.525400,20900,no
33,BUY,-0.400082,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,456,3144,7.500000,13.377100,20900,no
34,BUY,-0.543818,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,459,3141,7.500000,13.289700,20900,no
35,BUY,-0.414471,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,464,3136,7.500000,13.146500,20900,no
36,BUY,-0.424355,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,466,3134,7.500000,13.090100,20900,no
37,BUY,-0.235247,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,470,3130,7.500000,12.978700,20900,no
38,BUY,0.033180,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,474,3126,7.500000,12.869100,20900,no
39,BUY,-0.085260,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,478,3122,7.500000,12.761500,20900,no
40,BUY,-0.533624,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,481,3119,7.500000,12.681900,20900,no
41,BUY,-0.372143,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,486,3114,7.500000,12.551400,20900,no
42,BUY,-0.478582,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,489,3111,7.500000,12.474400,20900,no
43,BUY,-0.115621,21:07:23.362597869,no,-,-,-,-,0.122846,8.140275,0.705879,2,1,494,3106,7.500000,12.348100,20900,no
44,BUY,0.910371,21:07:23.362597869,yes,4.840000,ask1,800,00:00:00.000036702,0.122846,8.140275,0.705879,2,1,500,3100,7.500000,13.800000,20100,no
45,BUY,0.558839,21:07:23.362597869,yes,4.840000,ask1,800,00:00:00.000042460,0.122846,8.140275,0.705879,2,1,503,3097,7.500000,15.308100,19300,no
46,BUY,0.039685,21:07:23.362597869,no,-,-,-,-,0.135131,7.400250,0.705879,2,1,508,3092,7.500000,15.157400,19300,no
