轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,0.314620,21:07:23.345485912,no,-,-,-,-,0.909091,1.100000,0.632800,2,1,332,3268,1.250000,0.000000,4500,no
2,BUY,0.048358,21:07:23.345485912,no,-,-,-,-,0.826446,1.210000,0.632800,2,1,337,3263,1.250000,0.000000,4500,no
3,BUY,-0.112730,21:07:23.345485912,no,-,-,-,-,0.751315,1.331000,0.632800,2,1,341,3259,1.250000,0.000000,4500,no
4,BUY,0.102658,21:07:23.345485912,no,-,-,-,-,0.683013,1.464100,0.632800,2,1,347,3253,1.250000,0.000000,4500,no
5,BUY,-0.061873,21:07:23.345485912,no,-,-,-,-,0.620921,1.610510,0.632800,2,1,352,3248,1.250000,0.000000,4500,no
6,BUY,-0.245335,21:07:23.345485912,no,-,-,-,-,0.564474,1.771561,0.632800,2,1,357,3243,1.250000,0.000000,4500,no
7,BUY,-0.305587,21:07:23.345485912,no,-,-,-,-,0.513158,1.948717,0.632800,2,1,361,3239,1.250000,0.000000,4500,no
8,BUY,-0.215055,21:07:23.345485912,no,-,-,-,-,0.466507,2.143589,0.632800,2,1,365,3235,1.250000,0.000000,4500,no
9,BUY,-0.312380,21:07:23.345485912,no,-,-,-,-,0.424098,2.357948,0.632800,2,1,370,3230,1.250000,0.000000,4500,no
10,BUY,0.032846,21:07:23.345485912,no,-,-,-,-,0.385543,2.593742,0.632800,2,1,374,3226,1.250000,0.000000,4500,no
11,BUY,0.240698,21:07:23.345485912,yes,8.010000,ask1,200,00:00:00.000035699,0.350494,2.853117,0.632800,2,1,380,3220,1.250000,0.000000,4500,no
12,BUY,0.366160,21:07:23.345485912,yes,8.010000,ask1,300,00:00:00.000036812,0.318631,3.138428,0.632800,2,1,384,3216,1.250000,1.302000,4000,no
13,BUY,0.407653,21:07:23.345485912,yes,8.010000,ask1,300,00:00:00.000037124,0.318631,3.138428,0.632800,2,1,391,3209,1.250000,1.278700,4000,no
14,BUY,0.448994,21:07:23.345485912,yes,8.010000,ask1,300,00:00:00.000037418,0.318631,3.138428,0.632800,2,1,396,3204,1.250000,2.777700,3400,no
15,BUY,1.241052,21:07:23.345485912,yes,8.010000,ask1,200,00:00:00.000035785,0.350494,2.853117,0.632800,2,1,400,3200,1.250000,3.250000,3200,no
16,BUY,1.280237,21:07:23.345485912,yes,8.010000,ask1,200,00:00:00.000036187,0.385543,2.593742,0.632800,2,1,406,3194,1.250000,3.694500,3000,no
17,BUY,1.348517,21:07:23.345485912,yes,8.010000,ask1,200,00:00:00.000038260,0.424098,2.357948,0.632800,2,1,410,3190,1.250000,4.146300,2800,no
18,BUY,2.000887,21:07:23.345485912,yes,8.010000,ask1,200,00:00:00.000036422,0.466507,2.143589,0.632800,2,1,413,3187,1.250000,4.116200,2800,no
19,BUY,1.963835,21:07:23.345485912,yes,8.010000,ask1,100,00:00:00.000038047,0.513158,1.948717,0.632800,2,1,417,3183,1.250000,4.796100,2500,no
20,BUY,2.452243,21:07:23.345485912,yes,8.010000,ask1,100,00:00:00.000035812,0.564474,1.771561,0.632800,2,1,422,3178,1.250000,4.976300,2400,no
21,BUY,2.305223,21:07:23.345485912,yes,8.010000,ask1,100,00:00:00.000040568,0.620921,1.610510,0.632800,2,1,427,3173,1.250000,4.918000,2400,no
22,BUY,1.589457,21:07:23.345485912,yes,8.010000,ask1,100,00:00:00.000036490,0.683013,1.464100,0.632800,2,1,431,3169,1.250000,5.104400,2300,no
23,BUY,1.565744,21:07:23.345485912,yes,8.010000,ask1,100,00:00:00.000038327,0.751315,1.331000,0.632800,2,1,437,3163,1.250000,5.491900,2100,no
24,BUY,0.086289,21:07:23.345485912,no,-,-,-,-,0.826446,1.210000,0.632800,2,1,441,3159,1.250000,5.442100,2100,no
25,BUY,0.562648,21:07:23.345485912,no,-,-,-,-,0.909091,1.100000,0.632800,2,1,445,3155,1.250000,5.393200,2100,no
26,BUY,0.820387,21:07:23.345485912,yes,8.020000,ask1,100,00:00:00.000037490,1.000000,1.000000,0.632800,2,1,450,3150,1.250000,5.555500,2000,no
27,BUY,1.006436,21:07:23.345485912,no,-,-,-,-,1.100000,0.909091,0.632800,2,1,457,3143,1.250000,5.470400,2000,no
28,BUY,0.908849,21:07:23.345485912,no,-,-,-,-,1.210000,0.826446,0.632800,2,1,461,3139,1.250000,5.422900,2000,no
29,BUY,0.639295,21:07:23.345485912,no,-,-,-,-,1.331000,0.751315,0.632800,2,1,465,3135,1.250000,5.376300,2000,no
30,BUY,1.035447,21:07:23.345485912,no,-,-,-,-,1.464100,0.683013,0.632800,2,1,469,3131,1.250000,5.330400,2000,no
31,BUY,1.009437,21:07:23.345485912,no,-,-,-,-,1.610510,0.620921,0.632800,2,1,474,3126,1.250000,5.274200,2000,no
32,BUY,0.731863,21:07:23.345485912,no,-,-,-,-,1.771561,0.564474,0.632800,2,1,479,3121,1.250000,5.219200,2000,no
33,BUY,0.583865,21:07:23.345485912,no,-,-,-,-,1.948717,0.513158,0.632800,2,1,483,3117,1.250000,5.175900,2000,no
34,BUY,0.586327,21:07:23.345485912,no,-,-,-,-,2.143589,0.466507,0.632800,2,1,488,3112,1.250000,5.122900,2000,no
35,BUY,0.832327,21:07:23.345485912,no,-,-,-,-,2.357948,0.424098,0.632800,2,1,493,3107,1.250000,5.070900,2000,no
36,BUY,1.020832,21:07:23.345485912,no,-,-,-,-,2.593742,0.385543,0.632800,2,1,497,3103,1.250000,5.030100,2000,no
37,BUY,0.987288,21:07:23.345485912,no,-,-,-,-,2.853117,0.350494,0.632800,2,1,503,3097,1.250000,4.970100,2000,no
38,BUY,1.127531,21:07:23.345485912,no,-,-,-,-,3.138428,0.318631,0.632800,2,1,508,3092,1.250000,4.921200,2000,no
39,BUY,1.124308,21:07:23.345485912,no,-,-,-,-,3.452271,0.289664,0.632800,2,1,512,3088,1.250000,4.882800,2000,no
40,BUY,0.711653,21:07:23.345485912,no,-,-,-,-,3.797498,0.263331,0.632800,2,1,517,3083,1.250000,4.835500,2000,no
41,BUY,0.724519,21:07:23.345485912,no,-,-,-,-,4.177248,0.239392,0.632800,2,1,523,3077,1.250000,4.780100,2000,no
42,BUY,0.717939,21:07:23.345485912,no,-,-,-,-,4.594973,0.217629,0.632800,2,1,528,3072,1.250000,4.734800,2000,no
43,BUY,0.762403,21:07:23.345485912,no,-,-,-,-,5.054470,0.197845,0.632800,2,1,532,3068,1.250000,4.699200,2000,no
44,BUY,0.634958,21:07:23.345485912,no,-,-,-,-,5.559917,0.179859,0.632800,2,1,537,3063,1.250000,4.655400,2000,no
45,BUY,0.267156,21:07:23.345485912,no,-,-,-,-,6.115909,0.163508,0.632800,2,1,542,3058,1.250000,4.612500,2000,no
46,BUY,0.360216,21:07:23.345485912,no,-,-,-,-,6.727500,0.148644,0.632800,2,1,546,3054,1.250000,4.578700,2000,no
47,BUY,0.426160,21:07:23.345485912,no,-,-,-,-,7.400250,0.135131,0.632800,2,1,552,3048,1.250000,4.528900,2000,no
48,BUY,0.113209,21:07:23.345485912,no,-,-,-,-,8.140275,0.122846,0.632800,2,1,556,3044,1.250000,4.496400,2000,no
49,BUY,0.595704,21:07:23.345485912,no,-,-,-,-,8.954302,0.111678,0.632800,2,1,561,3039,1.250000,4.456300,2000,no
50,BUY,0.245564,21:07:23.345485912,no,-,-,-,-,9.849733,0.101526,0.632800,2,1,567,3033,1.250000,4.409100,2000,no
51,BUY,0.378106,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,572,3028,1.250000,4.370600,2000,no
52,BUY,0.671761,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,577,3023,1.250000,4.332700,2000,no
53,BUY,0.185962,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,581,3019,1.250000,4.302900,2000,no
54,BUY,0.097850,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,586,3014,1.250000,4.266200,2000,no
55,BUY,0.303201,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,592,3008,1.250000,4.222900,2000,no
56,BUY,0.588251,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,596,3004,1.250000,4.194600,2000,no
57,BUY,0.377373,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,603,2997,1.250000,4.145900,2000,no
58,BUY,0.724556,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,608,2992,1.250000,4.111800,2000,no
59,BUY,1.512108,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,613,2987,1.250000,4.078300,2000,no
60,BUY,0.908358,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,619,2981,1.250000,4.038700,2000,no
61,BUY,1.327544,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,622,2978,1.250000,4.019200,2000,no
62,BUY,1.104933,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,628,2972,1.250000,3.980800,2000,no
63,BUY,0.901888,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,636,2964,1.250000,3.930800,2000,no
64,BUY,0.698903,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,640,2960,1.250000,3.906200,2000,no
65,BUY,0.667350,21:07:23.345485912,no,-,-,-,-,10.000000,0.100000,0.632800,2,1,643,2957,1.250000,3.888000,2000,no
