轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,0.018442,21:07:23.360797682,no,-,-,-,-,0.909091,1.100000,0.754943,2,1,332,3268,3.750000,0.000000,13500,no
2,SELL,-0.153494,21:07:23.360797682,no,-,-,-,-,0.826446,1.210000,0.754943,2,1,335,3265,3.750000,0.000000,13500,no
3,SELL,-0.549808,21:07:23.360797682,no,-,-,-,-,0.751315,1.331000,0.754943,2,1,339,3261,3.750000,0.000000,13500,no
4,SELL,-0.423746,21:07:23.360797682,no,-,-,-,-,0.683013,1.464100,0.754943,2,1,343,3257,3.750000,0.000000,13500,no
5,SELL,-0.603136,21:07:23.360797682,yes,18.320000,bid1,100,00:00:00.000040380,0.620921,1.610510,0.754943,2,1,347,3253,3.750000,0.000000,13500,no
6,SELL,-0.559971,21:07:23.360797682,yes,18.320000,bid1,100,00:00:00.000037800,0.564474,1.771561,0.754943,2,1,351,3249,3.750000,0.569800,13300,no
7,SELL,-0.617933,21:07:23.360797682,yes,18.310000,bid1,100,00:00:00.000036553,0.513158,1.948717,0.754943,2,1,355,3245,3.750000,0.563300,13300,no
8,SELL,-0.305448,21:07:23.360797682,no,-,-,-,-,0.466507,2.143589,0.754943,2,1,359,3241,3.750000,0.835600,13200,no
9,SELL,0.645663,21:07:23.360797682,no,-,-,-,-,0.424098,2.357948,0.754943,2,1,362,3238,3.750000,0.828700,13200,no
10,SELL,0.479862,21:07:23.360797682,no,-,-,-,-,0.385543,2.593742,0.754943,2,1,366,3234,3.750000,0.819600,13200,no
11,SELL,0.445250,21:07:23.360797682,no,-,-,-,-,0.350494,2.853117,0.754943,2,1,369,3231,3.750000,0.813000,13200,no
12,SELL,0.586834,21:07:23.360797682,no,-,-,-,-,0.318631,3.138428,0.754943,2,1,373,3227,3.750000,0.804200,13200,no
13,SELL,0.377454,21:07:23.360797682,no,-,-,-,-,0.289664,3.452271,0.754943,2,1,376,3224,3.750000,0.797800,13200,no
14,SELL,-0.049558,21:07:23.360797682,no,-,-,-,-,0.263331,3.797498,0.754943,2,1,381,3219,3.750000,0.787400,13200,no
15,SELL,-0.257746,21:07:23.360797682,yes,18.300000,bid1,400,00:00:00.000035442,0.239392,4.177248,0.754943,2,1,383,3217,3.750000,1.827600,12800,no
16,SELL,-0.111719,21:07:23.360797682,no,-,-,-,-,0.217629,4.594973,0.754943,2,1,387,3213,3.750000,1.808700,12800,no
