轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.025457,21:07:23.363400632,no,-,-,-,-,0.909091,1.100000,0.583639,2,1,332,3268,13.750000,0.000000,49500,no
2,SELL,0.000873,21:07:23.363400632,no,-,-,-,-,0.826446,1.210000,0.583639,2,1,335,3265,13.750000,0.000000,49500,no
3,SELL,0.187907,21:07:23.363400632,no,-,-,-,-,0.751315,1.331000,0.583639,2,1,338,3262,13.750000,0.000000,49500,no
4,SELL,0.124488,21:07:23.363400632,no,-,-,-,-,0.683013,1.464100,0.583639,2,1,342,3258,13.750000,0.000000,49500,no
5,SELL,0.097629,21:07:23.363400632,no,-,-,-,-,0.620921,1.610510,0.583639,2,1,346,3254,13.750000,0.000000,49500,no
6,SELL,0.271023,21:07:23.363400632,no,-,-,-,-,0.564474,1.771561,0.583639,2,1,350,3250,13.750000,0.000000,49500,no
7,SELL,-0.852009,21:07:23.363400632,yes,9.459900,bid1,100,00:00:00.000036120,0.513158,1.948717,0.583639,2,1,354,3246,13.750000,0.282400,49400,no
8,SELL,-0.550343,21:07:23.363400632,yes,9.459900,bid1,200,00:00:00.000036048,0.466507,2.143589,0.583639,2,1,359,3241,13.750000,0.835600,49200,no
9,SELL,-0.560902,21:07:23.363400632,yes,9.469900,bid1,200,00:00:00.000038003,0.424098,2.357948,0.583639,2,1,362,3238,13.750000,1.381200,49000,no
10,SELL,-0.270205,21:07:23.363400632,yes,9.450000,bid1,200,00:00:00.000042697,0.385543,2.593742,0.583639,2,1,366,3234,13.750000,1.912500,48800,no
11,SELL,0.395460,21:07:23.363400632,no,-,-,-,-,0.350494,2.853117,0.583639,2,1,369,3231,13.750000,1.897000,48800,no
12,SELL,-0.198182,21:07:23.363400632,yes,9.459900,bid1,300,00:00:00.000037792,0.318631,3.138428,0.583639,2,1,372,3228,13.750000,1.881700,48800,no
13,SELL,0.007016,21:07:23.363400632,no,-,-,-,-,0.289664,3.452271,0.583639,2,1,376,3224,13.750000,2.659500,48500,no
14,SELL,-0.175874,21:07:23.363400632,yes,9.459900,bid1,300,00:00:00.000036608,0.263331,3.797498,0.583639,2,1,380,3220,13.750000,3.421000,48200,no
15,SELL,0.792329,21:07:23.363400632,no,-,-,-,-,0.239392,4.177248,0.583639,2,1,382,3218,13.750000,3.403100,48200,no
16,SELL,0.516980,21:07:23.363400632,no,-,-,-,-,0.217629,4.594973,0.583639,2,1,386,3214,13.750000,3.367800,48200,no
17,SELL,0.728967,21:07:23.363400632,no,-,-,-,-,0.197845,5.054470,0.583639,2,1,392,3208,13.750000,3.316300,48200,no
