轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,2.354454,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000046754,0.909091,1.100000,0.699179,2,1,333,3267,15.000000,0.300300,53900,no
2,BUY,1.885418,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000042258,0.826446,1.210000,0.699179,2,1,337,3263,15.000000,0.593400,53800,no
3,BUY,2.179183,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000036892,0.751315,1.331000,0.699179,2,1,342,3258,15.000000,0.877100,53700,no
4,BUY,2.395025,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000038944,0.683013,1.464100,0.699179,2,1,348,3252,15.000000,1.149400,53600,no
5,BUY,1.715618,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000036930,0.620921,1.610510,0.699179,2,1,352,3248,15.000000,1.420400,53500,no
6,BUY,1.994918,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000036126,0.564474,1.771561,0.699179,2,1,358,3242,15.000000,1.396600,53500,no
7,BUY,2.154292,21:07:23.353127322,yes,5.690000,ask1,100,00:00:00.000036677,0.513158,1.948717,0.699179,2,1,361,3239,15.000000,1.939000,53300,no
8,BUY,1.430464,21:07:23.353127322,yes,5.690000,ask1,200,00:00:00.000038258,0.466507,2.143589,0.699179,2,1,365,3235,15.000000,2.465700,53100,no
9,BUY,2.654884,21:07:23.353127322,yes,5.680000,ask1,200,00:00:00.000036835,0.424098,2.357948,0.699179,2,1,371,3229,15.000000,2.425800,53100,no
10,BUY,1.245356,21:07:23.353127322,yes,5.690000,ask1,200,00:00:00.000037476,0.385543,2.593742,0.699179,2,1,375,3225,15.000000,3.466600,52700,no
11,BUY,2.089064,21:07:23.353127322,yes,5.690000,ask1,200,00:00:00.000035032,0.350494,2.853117,0.699179,2,1,380,3220,15.000000,3.947300,52500,no
12,BUY,1.676088,21:07:23.353127322,yes,5.690000,ask1,300,00:00:00.000036189,0.318631,3.138428,0.699179,2,1,385,3215,15.000000,4.675300,52200,no
13,BUY,2.462966,21:07:23.353127322,yes,5.690000,ask1,300,00:00:00.000036360,0.289664,3.452271,0.699179,2,1,392,3208,15.000000,5.357100,51900,no
14,BUY,2.099478,21:07:23.353127322,yes,5.680000,ask1,300,00:00:00.000040636,0.263331,3.797498,0.699179,2,1,397,3203,15.000000,5.289600,51900,no
15,BUY,2.478576,21:07:23.353127322,yes,5.680000,ask1,400,00:00:00.000038743,0.239392,4.177248,0.699179,2,1,401,3199,15.000000,6.982500,51200,no
16,BUY,1.965609,21:07:23.353127322,yes,5.680000,ask1,400,00:00:00.000041716,0.217629,4.594973,0.699179,2,1,406,3194,15.000000,7.881700,50800,no
17,BUY,2.453694,21:07:23.353127322,yes,5.680000,ask1,500,00:00:00.000037932,0.197845,5.054470,0.699179,2,1,410,3190,15.000000,9.024300,50300,no
18,BUY,3.258399,21:07:23.353127322,yes,5.690000,ask1,500,00:00:00.000038899,0.179859,5.559917,0.699179,2,1,413,3187,15.000000,10.169400,49800,no
19,BUY,2.890695,21:07:23.353127322,yes,5.690000,ask1,600,00:00:00.000036059,0.163508,6.115909,0.699179,2,1,418,3182,15.000000,10.047800,49800,no
20,BUY,1.678150,21:07:23.353127322,yes,5.690000,ask1,600,00:00:00.000041856,0.148644,6.727500,0.699179,2,1,423,3177,15.000000,11.347500,49200,no
21,BUY,1.912870,21:07:23.353127322,yes,5.690000,ask1,700,00:00:00.000038971,0.135131,7.400250,0.699179,2,1,427,3173,15.000000,14.285700,47900,no
22,BUY,2.640927,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000042559,0.122846,8.140275,0.699179,2,1,432,3168,15.000000,14.120300,47900,no
23,BUY,2.907380,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000053721,0.122846,8.140275,0.699179,2,1,438,3162,15.000000,17.579900,46300,no
24,BUY,2.063515,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000036644,0.122846,8.140275,0.699179,2,1,443,3157,15.000000,17.381400,46300,no
25,BUY,1.854564,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000045904,0.122846,8.140275,0.699179,2,1,446,3154,15.000000,19.058200,45500,no
26,BUY,1.624506,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000035433,0.122846,8.140275,0.699179,2,1,451,3149,15.000000,20.620800,44700,no
27,BUY,2.065285,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000035791,0.122846,8.140275,0.699179,2,1,457,3143,15.000000,22.100600,43900,no
28,BUY,1.396017,21:07:23.353127322,yes,5.670000,ask1,800,00:00:00.000036367,0.122846,8.140275,0.699179,2,1,463,3137,15.000000,25.269900,42300,no
29,BUY,1.932838,21:07:23.353127322,yes,5.670000,ask1,800,00:00:00.000043242,0.122846,8.140275,0.699179,2,1,465,3135,15.000000,26.881700,41500,no
30,BUY,0.196560,21:07:23.353127322,yes,5.680000,ask1,800,00:00:00.000037783,0.122846,8.140275,0.699179,2,1,469,3131,15.000000,28.358200,40700,no
31,BUY,0.879560,21:07:23.353127322,yes,5.680000,ask1,800,00:00:00.000037656,0.122846,8.140275,0.699179,2,1,474,3126,15.000000,28.059000,40700,no
32,BUY,0.216401,21:07:23.353127322,yes,5.690000,ask1,800,00:00:00.000052288,0.122846,8.140275,0.699179,2,1,480,3120,15.000000,31.041600,39100,no
33,BUY,0.217024,21:07:23.353127322,yes,5.690000,ask1,700,00:00:00.000063468,0.135131,7.400250,0.699179,2,1,485,3115,15.000000,32.164900,38400,no
34,BUY,0.568698,21:07:23.353127322,yes,5.690000,ask1,600,00:00:00.000037940,0.148644,6.727500,0.699179,2,1,488,3112,15.000000,33.196700,37800,no
35,BUY,1.741452,21:07:23.353127322,yes,5.680000,ask1,600,00:00:00.000036489,0.163508,6.115909,0.699179,2,1,493,3107,15.000000,32.860000,37800,no
36,BUY,1.323634,21:07:23.353127322,yes,5.680000,ask1,500,00:00:00.000040656,0.179859,5.559917,0.699179,2,1,499,3101,15.000000,33.667300,37200,no
37,BUY,1.228053,21:07:23.353127322,yes,5.680000,ask1,500,00:00:00.000036085,0.197845,5.054470,0.699179,2,1,503,3097,15.000000,34.393600,36700,no
38,BUY,1.070235,21:07:23.353127322,yes,5.680000,ask1,400,00:00:00.000035321,0.217629,4.594973,0.699179,2,1,508,3092,15.000000,35.826700,35800,no
39,BUY,1.477352,21:07:23.353127322,yes,5.680000,ask1,400,00:00:00.000037054,0.239392,4.177248,0.699179,2,1,512,3088,15.000000,35.546800,35800,no
40,BUY,1.371489,21:07:23.353127322,yes,5.680000,ask1,300,00:00:00.000037744,0.263331,3.797498,0.699179,2,1,518,3082,15.000000,35.907300,35400,no
41,BUY,1.319562,21:07:23.353127322,yes,5.680000,ask1,300,00:00:00.000035733,0.289664,3.452271,0.699179,2,1,523,3077,15.000000,36.711200,34800,no
42,BUY,1.313893,21:07:23.353127322,yes,5.680000,ask1,300,00:00:00.000035202,0.318631,3.138428,0.699179,2,1,528,3072,15.000000,36.931800,34500,no
43,BUY,0.875013,21:07:23.353127322,yes,5.690000,ask1,200,00:00:00.000036768,0.350494,2.853117,0.699179,2,1,532,3068,15.000000,36.654100,34500,no
44,BUY,0.714227,21:07:23.353127322,yes,5.690000,ask1,200,00:00:00.000036963,0.385543,2.593742,0.699179,2,1,537,3063,15.000000,36.685200,34300,no
45,BUY,0.593533,21:07:23.353127322,yes,5.690000,ask1,200,00:00:00.000036428,0.424098,2.357948,0.699179,2,1,543,3057,15.000000,37.016500,33900,no
46,BUY,0.314639,21:07:23.353127322,no,-,-,-,-,0.466507,2.143589,0.699179,2,1,548,3052,15.000000,36.678800,33900,no
47,BUY,-0.188035,21:07:23.353127322,no,-,-,-,-,0.513158,1.948717,0.699179,2,1,554,3046,15.000000,36.281500,33900,no
48,BUY,0.842378,21:07:23.353127322,yes,5.690000,ask1,100,00:00:00.000055560,0.564474,1.771561,0.699179,2,1,557,3043,15.000000,36.265700,33800,no
49,BUY,0.934131,21:07:23.353127322,yes,5.690000,ask1,100,00:00:00.000039112,0.620921,1.610510,0.699179,2,1,563,3037,15.000000,35.879200,33800,no
50,BUY,0.987196,21:07:23.353127322,yes,5.690000,ask1,100,00:00:00.000037014,0.683013,1.464100,0.699179,2,1,569,3031,15.000000,35.852300,33600,no
51,BUY,0.899753,21:07:23.353127322,yes,5.690000,ask1,100,00:00:00.000035732,0.751315,1.331000,0.699179,2,1,574,3026,15.000000,35.714200,33500,no
52,BUY,0.719469,21:07:23.353127322,yes,5.690000,ask1,100,00:00:00.000038681,0.826446,1.210000,0.699179,2,1,577,3023,15.000000,35.528500,33500,no
53,BUY,1.844812,21:07:23.353127322,yes,5.680000,ask1,100,00:00:00.000043555,0.909091,1.100000,0.699179,2,1,583,3017,15.000000,35.506000,33300,no
54,BUY,0.830815,21:07:23.353127322,no,-,-,-,-,1.000000,1.000000,0.699179,2,1,586,3014,15.000000,35.324200,33300,no
55,BUY,1.494935,21:07:23.353127322,no,-,-,-,-,1.100000,0.909091,0.699179,2,1,593,3007,15.000000,34.907200,33300,no
56,BUY,2.180066,21:07:23.353127322,no,-,-,-,-,1.210000,0.826446,0.699179,2,1,597,3003,15.000000,34.673300,33300,no
57,BUY,2.589953,21:07:23.353127322,no,-,-,-,-,1.331000,0.751315,0.699179,2,1,604,2996,15.000000,34.271500,33300,no
58,BUY,1.451438,21:07:23.353127322,no,-,-,-,-,1.464100,0.683013,0.699179,2,1,608,2992,15.000000,34.046000,33300,no
59,BUY,1.362167,21:07:23.353127322,no,-,-,-,-,1.610510,0.620921,0.699179,2,1,613,2987,15.000000,33.768300,33300,no
60,BUY,1.174895,21:07:23.353127322,no,-,-,-,-,1.771561,0.564474,0.699179,2,1,619,2981,15.000000,33.441000,33300,no
61,BUY,1.744052,21:07:23.353127322,no,-,-,-,-,1.948717,0.513158,0.699179,2,1,623,2977,15.000000,33.226300,33300,no
62,BUY,1.695330,21:07:23.353127322,no,-,-,-,-,2.143589,0.466507,0.699179,2,1,630,2970,15.000000,32.857100,33300,no
63,BUY,2.772175,21:07:23.353127322,no,-,-,-,-,2.357948,0.424098,0.699179,2,1,636,2964,15.000000,32.547100,33300,no
64,BUY,2.843704,21:07:23.353127322,no,-,-,-,-,2.593742,0.385543,0.699179,2,1,640,2960,15.000000,32.343700,33300,no
65,BUY,2.519514,21:07:23.353127322,no,-,-,-,-,2.853117,0.350494,0.699179,2,1,643,2957,15.000000,32.192800,33300,no
66,BUY,2.222537,21:07:23.353127322,no,-,-,-,-,3.138428,0.318631,0.699179,2,1,649,2951,15.000000,31.895200,33300,no
67,BUY,2.844401,21:07:23.353127322,no,-,-,-,-,3.452271,0.289664,0.699179,2,1,652,2948,15.000000,31.748400,33300,no
68,BUY,2.687973,21:07:23.353127322,no,-,-,-,-,3.797498,0.263331,0.699179,2,1,658,2942,15.000000,31.458900,33300,no
69,BUY,1.954405,21:07:23.353127322,no,-,-,-,-,4.177248,0.239392,0.699179,2,1,664,2936,15.000000,31.174600,33300,no
70,BUY,2.138741,21:07:23.353127322,no,-,-,-,-,4.594973,0.217629,0.699179,2,1,669,2931,15.000000,30.941700,33300,no
71,BUY,2.542757,21:07:23.353127322,no,-,-,-,-,5.054470,0.197845,0.699179,2,1,673,2927,15.000000,30.757800,33300,no
