轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,-0.174856,21:07:23.361791698,no,-,-,-,-,0.909091,1.100000,0.600628,2,1,332,3268,1.250000,0.000000,4500,no
2,BUY,0.182167,21:07:23.361791698,no,-,-,-,-,0.826446,1.210000,0.600628,2,1,335,3265,1.250000,0.000000,4500,no
3,BUY,0.000193,21:07:23.361791698,no,-,-,-,-,0.751315,1.331000,0.600628,2,1,339,3261,1.250000,0.000000,4500,no
4,BUY,0.678678,21:07:23.361791698,yes,5.200000,ask1,100,00:00:00.000038615,0.683013,1.464100,0.600628,2,1,343,3257,1.250000,0.291500,4400,no
5,BUY,1.029353,21:07:23.361791698,yes,5.200000,ask1,100,00:00:00.000035749,0.620921,1.610510,0.600628,2,1,347,3253,1.250000,0.576300,4300,no
6,BUY,1.293838,21:07:23.361791698,yes,5.200000,ask1,100,00:00:00.000037006,0.564474,1.771561,0.600628,2,1,350,3250,1.250000,0.857100,4200,no
7,BUY,0.326787,21:07:23.361791698,yes,5.210000,ask1,100,00:00:00.000036582,0.513158,1.948717,0.600628,2,1,354,3246,1.250000,1.129900,4100,no
8,BUY,-0.054590,21:07:23.361791698,no,-,-,-,-,0.466507,2.143589,0.600628,2,1,359,3241,1.250000,1.114200,4100,no
9,BUY,0.163205,21:07:23.361791698,no,-,-,-,-,0.424098,2.357948,0.600628,2,1,362,3238,1.250000,1.104900,4100,no
10,BUY,-0.222106,21:07:23.361791698,no,-,-,-,-,0.385543,2.593742,0.600628,2,1,366,3234,1.250000,1.092800,4100,no
11,BUY,0.046446,21:07:23.361791698,no,-,-,-,-,0.350494,2.853117,0.600628,2,1,369,3231,1.250000,1.084000,4100,no
12,BUY,-0.051393,21:07:23.361791698,no,-,-,-,-,0.318631,3.138428,0.600628,2,1,372,3228,1.250000,1.075200,4100,no
13,BUY,-0.362536,21:07:23.361791698,no,-,-,-,-,0.289664,3.452271,0.600628,2,1,376,3224,1.250000,1.063800,4100,no
14,BUY,-0.315049,21:07:23.361791698,no,-,-,-,-,0.263331,3.797498,0.600628,2,1,380,3220,1.250000,1.052600,4100,no
15,BUY,-0.215349,21:07:23.361791698,no,-,-,-,-,0.239392,4.177248,0.600628,2,1,383,3217,1.250000,1.044300,4100,no
16,BUY,-0.348035,21:07:23.361791698,no,-,-,-,-,0.217629,4.594973,0.600628,2,1,386,3214,1.250000,1.036200,4100,no
17,BUY,-0.291584,21:07:23.361791698,no,-,-,-,-,0.197845,5.054470,0.600628,2,1,392,3208,1.250000,1.020400,4100,no
18,BUY,-0.174045,21:07:23.361791698,no,-,-,-,-,0.179859,5.559917,0.600628,2,1,396,3204,1.250000,1.010100,4100,no
19,BUY,-0.073830,21:07:23.361791698,no,-,-,-,-,0.163508,6.115909,0.600628,2,1,398,3202,1.250000,1.005000,4100,no
20,BUY,-0.348760,21:07:23.361791698,no,-,-,-,-,0.148644,6.727500,0.600628,2,1,402,3198,1.250000,0.995000,4100,no
21,BUY,-0.084414,21:07:23.361791698,no,-,-,-,-,0.135131,7.400250,0.600628,2,1,406,3194,1.250000,0.985200,4100,no
22,BUY,-0.207712,21:07:23.361791698,no,-,-,-,-,0.122846,8.140275,0.600628,2,1,409,3191,1.250000,0.977900,4100,no
23,BUY,-0.128319,21:07:23.361791698,no,-,-,-,-,0.111678,8.954302,0.600628,2,1,412,3188,1.250000,0.970800,4100,no
24,BUY,-0.180138,21:07:23.361791698,no,-,-,-,-,0.101526,9.849733,0.600628,2,1,416,3184,1.250000,0.961500,4100,no
25,BUY,0.050360,21:07:23.361791698,no,-,-,-,-,0.100000,10.000000,0.600628,2,1,421,3179,1.250000,0.950100,4100,no
26,BUY,0.322755,21:07:23.361791698,yes,5.210000,ask1,1000,00:00:00.000038737,0.100000,10.000000,0.600628,2,1,426,3174,1.250000,3.286300,3100,no
27,BUY,0.497978,21:07:23.361791698,yes,5.210000,ask1,900,00:00:00.000036238,0.110000,9.090909,0.600628,2,1,431,3169,1.250000,5.336400,2200,no
28,BUY,0.214251,21:07:23.361791698,yes,5.210000,ask1,800,00:00:00.000035387,0.121000,8.264463,0.600628,2,1,436,3164,1.250000,7.110000,1400,no
29,BUY,0.315145,21:07:23.361791698,yes,5.210000,ask1,700,00:00:00.000037940,0.133100,7.513148,0.600628,2,1,440,3160,1.250000,8.636300,700,no
30,BUY,0.453010,21:07:23.361791698,yes,5.210000,ask1,600,00:00:00.000038986,0.146410,6.830135,0.600628,2,1,444,3156,1.250000,9.909900,100,no
31,BUY,0.066597,21:07:23.361791698,no,-,-,-,-,0.161051,6.209213,0.600628,2,1,447,3153,1.250000,9.843400,100,no
32,BUY,0.010542,21:07:23.361791698,no,-,-,-,-,0.177156,5.644739,0.600628,2,1,451,3149,1.250000,9.756000,100,no
33,BUY,0.150770,21:07:23.361791698,yes,5.210000,ask1,100,00:00:00.000047512,0.194872,5.131581,0.600628,2,1,456,3144,1.250000,9.868400,0,no
