轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,SELL,-0.580870,21:07:23.361598292,no,-,-,-,-,0.909091,1.100000,0.801923,2,1,332,3268,6.250000,0.000000,22500,no
2,SELL,-0.341045,21:07:23.361598292,no,-,-,-,-,0.826446,1.210000,0.801923,2,1,335,3265,6.250000,0.000000,22500,no
3,SELL,-0.292905,21:07:23.361598292,no,-,-,-,-,0.751315,1.331000,0.801923,2,1,339,3261,6.250000,0.000000,22500,no
4,SELL,-0.631373,21:07:23.361598292,yes,14.190000,bid1,100,00:00:00.000037284,0.683013,1.464100,0.801923,2,1,343,3257,6.250000,0.291500,22400,no
5,SELL,-0.296890,21:07:23.361598292,no,-,-,-,-,0.620921,1.610510,0.801923,2,1,347,3253,6.250000,0.288100,22400,no
6,SELL,-0.519823,21:07:23.361598292,yes,14.200000,bid1,100,00:00:00.000039342,0.564474,1.771561,0.801923,2,1,350,3250,6.250000,0.571400,22300,no
7,SELL,-0.244356,21:07:23.361598292,no,-,-,-,-,0.513158,1.948717,0.801923,2,1,355,3245,6.250000,0.563300,22300,no
8,SELL,-0.324086,21:07:23.361598292,no,-,-,-,-,0.466507,2.143589,0.801923,2,1,359,3241,6.250000,0.557100,22300,no
9,SELL,-0.451042,21:07:23.361598292,yes,14.200000,bid1,200,00:00:00.000045295,0.424098,2.357948,0.801923,2,1,362,3238,6.250000,1.104900,22100,no
10,SELL,-0.484763,21:07:23.361598292,yes,14.200000,bid1,200,00:00:00.000039965,0.385543,2.593742,0.801923,2,1,366,3234,6.250000,1.639300,21900,no
11,SELL,-0.667933,21:07:23.361598292,yes,14.200000,bid1,200,00:00:00.000038469,0.350494,2.853117,0.801923,2,1,369,3231,6.250000,2.168000,21700,no
12,SELL,-1.055167,21:07:23.361598292,yes,14.200000,bid1,300,00:00:00.000037875,0.318631,3.138428,0.801923,2,1,372,3228,6.250000,2.956900,21400,no
13,SELL,-1.048749,21:07:23.361598292,yes,14.200000,bid1,300,00:00:00.000039786,0.289664,3.452271,0.801923,2,1,376,3224,6.250000,3.723400,21100,no
