轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,0.239780,21:07:23.365438732,no,-,-,-,-,0.909091,1.100000,1.017578,2,1,332,3268,1.250000,0.000000,4500,no
2,BUY,0.291742,21:07:23.365438732,no,-,-,-,-,0.826446,1.210000,1.017578,2,1,335,3265,1.250000,0.000000,4500,no
3,BUY,0.038562,21:07:23.365438732,no,-,-,-,-,0.751315,1.331000,1.017578,2,1,339,3261,1.250000,0.000000,4500,no
4,BUY,-0.050185,21:07:23.365438732,no,-,-,-,-,0.683013,1.464100,1.017578,2,1,343,3257,1.250000,0.000000,4500,no
5,BUY,-0.238473,21:07:23.365438732,no,-,-,-,-,0.620921,1.610510,1.017578,2,1,347,3253,1.250000,0.000000,4500,no
6,BUY,-0.150244,21:07:23.365438732,no,-,-,-,-,0.564474,1.771561,1.017578,2,1,351,3249,1.250000,0.000000,4500,no
7,BUY,-0.222235,21:07:23.365438732,no,-,-,-,-,0.513158,1.948717,1.017578,2,1,355,3245,1.250000,0.000000,4500,no
8,BUY,-0.290654,21:07:23.365438732,no,-,-,-,-,0.466507,2.143589,1.017578,2,1,359,3241,1.250000,0.000000,4500,no
9,BUY,-0.429393,21:07:23.365438732,no,-,-,-,-,0.424098,2.357948,1.017578,2,1,363,3237,1.250000,0.000000,4500,no
10,BUY,-0.698343,21:07:23.365438732,no,-,-,-,-,0.385543,2.593742,1.017578,2,1,367,3233,1.250000,0.000000,4500,no
11,BUY,-0.224234,21:07:23.365438732,no,-,-,-,-,0.350494,2.853117,1.017578,2,1,369,3231,1.250000,0.000000,4500,no
12,BUY,1.060263,21:07:23.365438732,yes,20.810000,ask1,300,00:00:00.000042163,0.318631,3.138428,1.017578,2,1,373,3227,1.250000,0.804200,4200,no
13,BUY,0.345435,21:07:23.365438732,yes,20.820000,ask1,300,00:00:00.000046313,0.289664,3.452271,1.017578,2,1,376,3224,1.250000,1.595700,3900,no
14,BUY,0.125798,21:07:23.365438732,no,-,-,-,-,0.289664,3.452271,1.017578,2,1,381,3219,1.250000,1.574800,3900,no
